"Frequency Response"
"Axis-1: 1 - 1000Hz"
"Index","Frequency","Gain","Phase"
"","Hz","dB","deg"
144,685.000000,-15.046790,-152.828512
145,690.000000,-15.280300,-148.460251
146,695.000000,-15.656636,-154.450734
147,700.000000,-15.552358,-154.042764
148,705.000000,-15.697245,-155.633946
149,710.000000,-16.704090,-155.842809
150,715.000000,-16.405295,-151.579991
151,720.000000,-16.482482,-151.317822
152,725.000000,-17.102270,-155.363287
153,730.000000,-17.107334,-148.818734
154,735.000000,-16.583466,-152.572138
155,740.000000,-16.829698,-148.303428
156,745.000000,-16.607851,-146.795511
157,750.000000,-15.810718,-147.901609
158,755.000000,-15.446883,-144.581790
159,760.000000,-14.789338,-147.392342
160,765.000000,-14.314002,-151.444693
161,770.000000,-14.464765,-158.599646
162,775.000000,-15.385902,-162.736387
163,780.000000,-15.881395,-167.472445
164,785.000000,-17.910392,-158.570841
165,790.000000,-17.001997,-151.074729
166,795.000000,-16.538469,-152.446353
167,800.000000,-15.306067,-156.069328
168,805.000000,-15.687616,-160.362755
169,810.000000,-15.862190,-160.644078
170,815.000000,-16.129267,-160.786112
171,820.000000,-17.092971,-169.042956
172,825.000000,-19.905854,-174.199544
173,830.000000,-18.210524,-141.984961
174,835.000000,-17.567676,-149.285890
175,840.000000,-16.566044,-149.762341
176,845.000000,-16.955771,-133.461685
177,850.000000,-16.533887,-139.707353
178,855.000000,-15.349662,-141.528785
179,860.000000,-14.143410,-141.199212
180,865.000000,-13.581580,-143.806308
181,870.000000,-13.881440,-155.640114
182,875.000000,-13.776231,-149.670577
183,880.000000,-13.588139,-146.848991
184,885.000000,-12.780579,-157.067279
185,890.000000,-12.806670,-153.932783
186,895.000000,-12.291284,-162.057819
187,900.000000,-12.764711,-159.421312
188,905.000000,-12.553504,-167.452312
189,910.000000,-12.394856,-163.876438
190,915.000000,-12.272010,-169.554153
191,920.000000,-12.700538,-171.920828
192,925.000000,-12.511501,-174.061359
193,930.000000,-12.480797,-172.906320
194,935.000000,-12.352029,-172.280231
195,940.000000,-11.599983,-174.729086
196,945.000000,-11.869025,-182.652900
197,950.000000,-12.733111,-186.893231
198,955.000000,-12.818882,-185.827723
199,960.000000,-13.071429,-191.601281
200,965.000000,-13.643526,-189.672195
201,970.000000,-13.872198,-192.165020
202,975.000000,-13.278158,-190.620283
203,980.000000,-14.034862,-190.858358
204,985.000000,-14.950879,-198.585220
205,990.000000,-14.497384,-195.777916
206,995.000000,-14.364167,-198.217828
207,1000.000000,-14.136568,-197.147533
