"Frequency Response"
"Axis-1: 1 - 1000Hz"
"Index","Frequency","Gain","Phase"
"","Hz","dB","deg"
168,794.000000,-42.109804,-292.919139
169,812.000000,-42.967422,-288.314417
170,831.000000,-45.178076,-293.958679
171,851.000000,-47.968382,-275.392671
172,870.000000,-47.698792,-275.971468
173,891.000000,-45.877873,-252.762265
174,912.000000,-46.133522,-262.166691
175,933.000000,-46.187887,-262.067796
176,954.000000,-45.478726,-267.084690
177,977.000000,-46.487144,-266.106259
178,999.000000,-45.717827,-272.540893
179,1000.000000,-46.245518,-271.832475
