"Frequency Response"
"Axis-2: 1 - 1000Hz, MeasureMode=HighPrecision"
"Index","Frequency","Gain","Phase","Frequency","Gain","Phase"
"","Hz","dB","deg","Hz","dB","deg"
86,395.000000,-29.958128,-223.498325,120.000000,-13.380924,-136.322143
87,400.000000,-30.153288,-222.898937,123.000000,-13.284221,-138.738499
88,405.000000,-30.109412,-219.597576,125.000000,-13.574486,-139.771449
89,410.000000,-29.210037,-219.995640,128.000000,-13.697529,-139.593845
90,415.000000,-28.935952,-225.555256,131.000000,-14.328525,-143.051078
91,420.000000,-29.392569,-228.848262,134.000000,-14.406380,-140.500689
92,425.000000,-29.146662,-229.052414,138.000000,-14.215018,-141.506153
93,430.000000,-28.752238,-234.297526,141.000000,-14.504223,-143.498476
94,435.000000,-29.040189,-240.349498,144.000000,-14.510131,-143.186411
95,440.000000,-29.499128,-245.036686,147.000000,-14.695794,-148.920747
96,445.000000,-29.973271,-247.222947,151.000000,-15.723687,-150.108162
97,450.000000,-30.326903,-251.864931,154.000000,-15.386457,-152.101723
98,455.000000,-30.795034,-253.689597,158.000000,-16.087190,-152.766172
99,460.000000,-31.274798,-256.708658,162.000000,-16.695458,-151.642782
100,465.000000,-31.861825,-258.947222,165.000000,-16.468434,-153.482554
101,470.000000,-32.278913,-260.083062,169.000000,-16.217632,-155.924769
102,475.000000,-33.018216,-263.187009,173.000000,-16.984134,-158.634502
103,480.000000,-33.145883,-263.516476,177.000000,-17.329647,-159.546972
104,485.000000,-33.911442,-263.151107,181.000000,-17.118244,-161.905186
105,490.000000,-34.298259,-266.489005,186.000000,-17.780330,-164.504477
106,495.000000,-34.289102,-269.113926,190.000000,-18.194484,-167.364777
107,500.000000,-34.534817,-271.818138,194.000000,-18.274155,-167.351208
108,505.000000,-35.095729,-274.461397,199.000000,-18.665150,-169.416820
109,510.000000,-35.865747,-273.168864,204.000000,-18.957695,-171.041657
110,515.000000,-36.078570,-272.761485,208.000000,-19.307823,-172.695767
111,520.000000,-35.803217,-271.616574,213.000000,-19.700801,-174.249598
112,525.000000,-36.530852,-276.617652,218.000000,-19.692937,-175.015788
113,530.000000,-36.898523,-276.818955,223.000000,-20.108407,-179.179640
114,535.000000,-36.668333,-277.544884,229.000000,-20.427098,-180.727273
115,540.000000,-37.392137,-278.891049,234.000000,-20.799578,-182.776413
116,545.000000,-37.789871,-281.416506,239.000000,-21.123964,-184.602058
117,550.000000,-38.129845,-280.546185,245.000000,-21.803111,-188.894821
118,555.000000,-38.735189,-282.646736,251.000000,-22.210691,-189.592075
119,560.000000,-38.990418,-284.070795,257.000000,-22.398595,-190.338994
120,565.000000,-39.389772,-283.440746,263.000000,-22.549744,-193.401049
121,570.000000,-39.686459,-285.291745,269.000000,-22.748274,-195.239642
122,575.000000,-40.294251,-284.919557,275.000000,-23.341569,-199.887244
123,580.000000,-40.169672,-284.708891,281.000000,-23.639940,-200.905362
124,585.000000,-40.311958,-288.005865,288.000000,-23.914014,-203.757537
125,590.000000,-40.742186,-287.516636,295.000000,-24.373912,-205.719976
126,595.000000,-41.253531,-291.167195,301.000000,-24.674721,-207.779232
127,600.000000,-41.334873,-287.915624,309.000000,-24.889165,-208.632832
128,605.000000,-41.762599,-290.033806,316.000000,-25.313960,-212.977652
129,610.000000,-41.813070,-290.324683,323.000000,-25.446053,-214.457551
130,615.000000,-42.214449,-291.847571,331.000000,-26.176836,-218.786251
131,620.000000,-42.546501,-292.082718,338.000000,-26.257854,-219.732703
132,625.000000,-42.916262,-292.559724,346.000000,-26.886941,-224.678912
133,630.000000,-43.237554,-294.094277,354.000000,-27.101881,-227.666838
134,635.000000,-43.573433,-295.003644,363.000000,-27.336404,-231.324486
135,640.000000,-44.019483,-296.631661,371.000000,-27.951436,-236.826431
136,645.000000,-44.600229,-295.372167,380.000000,-28.204771,-244.489584
137,650.000000,-44.648382,-294.337825,389.000000,-28.656606,-242.948394
138,655.000000,-44.937946,-296.848150,398.000000,-29.063809,-249.566489
139,660.000000,-45.040385,-295.640380,407.000000,-29.722236,-251.842591
140,665.000000,-45.050065,-296.992488,416.000000,-30.605429,-254.606737
141,670.000000,-45.728659,-296.684340,426.000000,-30.960702,-259.708637
142,675.000000,-46.228356,-297.538160,436.000000,-31.736493,-262.639943
143,680.000000,-46.695421,-297.675162,446.000000,-32.551976,-265.722005
144,685.000000,-46.795906,-298.595712,457.000000,-32.904190,-267.630083
145,690.000000,-47.541546,-300.118593,467.000000,-33.976815,-269.188787
146,695.000000,-47.755727,-301.095313,478.000000,-34.842942,-268.942533
147,700.000000,-48.505614,-297.427335,489.000000,-35.580874,-272.837123
148,705.000000,-48.916802,-295.797859,501.000000,-36.315666,-271.749882
149,710.000000,-49.128668,-293.329719,512.000000,-37.269663,-279.855221
150,715.000000,-49.561166,-287.612736,524.000000,-37.497495,-282.237139
151,720.000000,-50.403824,-283.206003,537.000000,-38.684365,-282.795623
152,725.000000,-50.442986,-273.336198,549.000000,-39.251999,-284.783917
153,730.000000,-49.383811,-265.756150,562.000000,-40.538861,-286.989418
154,735.000000,-48.041585,-254.653518,575.000000,-41.438180,-288.960000
155,740.000000,-46.356823,-252.870485,588.000000,-42.016041,-290.787670
156,745.000000,-44.435679,-259.543843,602.000000,-42.908401,-294.325594
157,750.000000,-42.953409,-269.187799,616.000000,-44.001324,-295.334324
158,755.000000,-42.444657,-282.933591,630.000000,-44.909330,-297.034067
159,760.000000,-42.553021,-298.124588,645.000000,-45.321127,-297.120985
160,765.000000,-44.284638,-312.014951,660.000000,-46.849840,-299.776325
161,770.000000,-46.718107,-314.606218,676.000000,-47.973670,-300.116763
162,775.000000,-48.097338,-302.708957,691.000000,-49.138372,-302.955583
163,780.000000,-47.338554,-302.418045,707.000000,-51.173614,-299.650443
164,785.000000,-47.677479,-303.574084,724.000000,-54.614601,-283.469990
165,790.000000,-47.481105,-299.930824,741.000000,-44.099566,-257.855044
166,795.000000,-46.947895,-302.631342,758.000000,-45.731308,-296.293489
167,800.000000,-46.531658,-303.520961,776.000000,-48.458945,-299.469601
168,805.000000,-46.623702,-310.069769,794.000000,-48.356661,-304.429720
169,810.000000,-47.840972,-312.134468,812.000000,-49.833340,-306.152769
170,815.000000,-47.795481,-315.098428,831.000000,-50.073588,-313.361240
171,820.000000,-48.732793,-316.041946,851.000000,-51.180188,-314.549649
172,825.000000,-48.474691,-312.927759,870.000000,-51.719802,-319.290714
173,830.000000,-48.414831,-317.554733,891.000000,-52.430333,-319.446595
174,835.000000,-48.827714,-318.469121,912.000000,-53.272403,-321.740784
175,840.000000,-49.673738,-318.717212,933.000000,-54.772773,-326.868835
176,845.000000,-49.471506,-318.448592,954.000000,-55.249395,-333.403056
177,850.000000,-50.011899,-320.431479,977.000000,-56.218303,-338.688551
178,855.000000,-49.985226,-320.668614,999.000000,-56.282651,-334.004751
179,860.000000,-50.049642,-320.911729,1000.000000,-58.049823,-335.668218
180,865.000000,-50.714891,-322.590667,0.000000,0.000000,0.000000
181,870.000000,-50.627491,-326.273995,0.000000,0.000000,0.000000
182,875.000000,-51.126123,-325.204466,0.000000,0.000000,0.000000
183,880.000000,-51.427392,-327.431252,0.000000,0.000000,0.000000
184,885.000000,-52.044657,-326.388746,0.000000,0.000000,0.000000
185,890.000000,-51.289675,-330.189832,0.000000,0.000000,0.000000
186,895.000000,-51.686041,-326.529079,0.000000,0.000000,0.000000
187,900.000000,-52.139002,-327.422446,0.000000,0.000000,0.000000
188,905.000000,-52.425061,-330.277976,0.000000,0.000000,0.000000
189,910.000000,-52.326708,-330.647269,0.000000,0.000000,0.000000
190,915.000000,-52.763241,-327.764560,0.000000,0.000000,0.000000
191,920.000000,-52.687238,-326.306670,0.000000,0.000000,0.000000
192,925.000000,-52.780757,-329.419534,0.000000,0.000000,0.000000
193,930.000000,-53.533522,-337.873968,0.000000,0.000000,0.000000
194,935.000000,-53.294918,-332.825330,0.000000,0.000000,0.000000
195,940.000000,-53.900050,-329.252573,0.000000,0.000000,0.000000
196,945.000000,-53.581076,-335.398313,0.000000,0.000000,0.000000
197,950.000000,-53.861222,-333.376915,0.000000,0.000000,0.000000
198,955.000000,-53.554396,-342.373176,0.000000,0.000000,0.000000
199,960.000000,-54.664866,-335.897060,0.000000,0.000000,0.000000
200,965.000000,-54.699028,-334.976786,0.000000,0.000000,0.000000
201,970.000000,-54.488310,-338.941289,0.000000,0.000000,0.000000
202,975.000000,-55.344217,-339.845305,0.000000,0.000000,0.000000
203,980.000000,-56.132660,-337.951133,0.000000,0.000000,0.000000
204,985.000000,-56.135807,-340.313387,0.000000,0.000000,0.000000
205,990.000000,-56.036189,-334.848827,0.000000,0.000000,0.000000
206,995.000000,-56.272194,-336.532108,0.000000,0.000000,0.000000
207,1000.000000,-56.212498,-340.263488,0.000000,0.000000,0.000000
