"Frequency Response"
""
"Index","Frequency","Gain","Phase","Frequency","Gain","Phase"
"","Hz","dB","deg","Hz","dB","deg"
89,410.000000,-30.340179,-221.511119,410.000000,-30.537429,-220.382261
90,415.000000,-33.965882,-152.580674,415.000000,-34.119325,-153.099942
91,420.000000,-27.678333,-104.201637,420.000000,-27.772747,-106.472124
92,425.000000,-27.079522,-96.071504,425.000000,-27.128417,-98.579909
93,430.000000,-25.515710,-93.335693,430.000000,-25.554514,-96.354682
94,435.000000,-23.311698,-90.395937,435.000000,-23.335989,-94.301190
95,440.000000,-18.911066,-89.801216,440.000000,-18.963142,-96.270947
96,445.000000,-17.166467,-93.541538,445.000000,-17.321415,-101.350026
97,450.000000,-15.599245,-99.882977,450.000000,-15.951625,-108.916331
98,455.000000,-13.060178,-105.451438,455.000000,-13.734213,-116.888445
99,460.000000,-11.469692,-120.788428,460.000000,-12.755724,-132.197104
100,465.000000,-10.684526,-133.749826,465.000000,-12.415292,-143.710881
101,470.000000,-8.744114,-153.706394,470.000000,-11.269635,-160.657954
102,475.000000,-8.875405,-171.528689,475.000000,-11.527316,-173.767987
103,480.000000,-8.202983,-200.180631,480.000000,-10.947620,-194.567157
104,485.000000,-9.795706,-220.742377,485.000000,-11.824406,-211.112175
105,490.000000,-16.334296,-248.478811,490.000000,-16.884827,-240.826585
106,495.000000,-28.805828,-237.651533,495.000000,-28.976766,-235.929234
107,500.000000,-16.616714,-171.523447,500.000000,-17.802077,-172.611265
108,505.000000,-14.429860,-207.721464,505.000000,-15.804197,-203.396919
109,510.000000,-18.295919,-242.094215,510.000000,-18.821697,-236.285287
110,515.000000,-20.180804,-181.717214,515.000000,-20.992059,-181.564050
111,520.000000,-15.646228,-208.224556,520.000000,-16.845880,-204.325501
112,525.000000,-19.834811,-234.533452,525.000000,-20.360447,-230.052091
113,530.000000,-18.751411,-200.520645,530.000000,-19.649039,-198.428891
114,535.000000,-19.262997,-212.729381,535.000000,-20.036658,-209.643114
115,540.000000,-21.605567,-201.703718,540.000000,-22.255274,-200.069188
116,545.000000,-18.858712,-213.654881,545.000000,-19.660864,-210.351353
117,550.000000,-20.473852,-214.777498,550.000000,-21.135318,-211.908628
118,555.000000,-18.334743,-221.462728,555.000000,-19.112869,-217.257261
119,560.000000,-22.076130,-201.514052,560.000000,-22.693320,-199.972867
120,565.000000,-20.830828,-220.404420,565.000000,-21.425189,-217.251034
121,570.000000,-20.600936,-211.423404,570.000000,-21.275241,-208.843262
122,575.000000,-20.679227,-222.783822,575.000000,-21.264608,-219.417454
123,580.000000,-19.571395,-224.220550,580.000000,-20.222034,-220.322461
124,585.000000,-23.456209,-209.374844,585.000000,-23.954526,-207.591955
125,590.000000,-18.973682,-229.499860,590.000000,-19.613943,-224.940240
126,595.000000,-21.450559,-218.644393,595.000000,-22.017103,-215.806690
127,600.000000,-21.627776,-222.137250,600.000000,-22.157936,-219.137481
128,605.000000,-21.273647,-228.767526,605.000000,-21.770873,-225.251165
129,610.000000,-25.510643,-215.377224,610.000000,-25.882029,-213.691718
130,615.000000,-19.879124,-228.190784,615.000000,-20.469003,-224.141248
131,620.000000,-24.162334,-220.276292,620.000000,-24.569656,-218.087035
132,625.000000,-19.226878,-237.568585,625.000000,-19.754552,-232.587750
133,630.000000,-22.824289,-228.806383,630.000000,-23.239700,-225.835866
134,635.000000,-28.320767,-213.142379,635.000000,-28.597211,-211.978097
135,640.000000,-21.393657,-231.104446,640.000000,-21.863364,-227.503780
136,645.000000,-20.664801,-235.445688,645.000000,-21.132327,-231.300008
137,650.000000,-26.646638,-225.713547,650.000000,-26.928825,-223.866051
138,655.000000,-19.931605,-239.562583,655.000000,-20.393742,-234.836214
139,660.000000,-24.299818,-230.720140,660.000000,-24.637664,-228.118994
140,665.000000,-23.826991,-232.717563,665.000000,-24.169747,-229.895687
141,670.000000,-22.764460,-240.461456,670.000000,-23.086677,-236.965309
142,675.000000,-22.671547,-242.112996,675.000000,-22.982331,-238.518150
143,680.000000,-28.410049,-221.580579,680.000000,-28.655950,-220.176723
144,685.000000,-21.171061,-243.444704,685.000000,-21.528444,-239.142505
145,690.000000,-26.938664,-233.074187,690.000000,-27.175614,-231.068781
