Frequency Response - Position,,,,,,
Axis-2: 1 - 400Hz,,,,,,
Index,Frequency,Gain,Phase,Frequency,Gain,Phase
,Hz,dB,deg,Hz,dB,deg
104,181,-25.615933,-421.711041,181,-17.118244,-161.905186
105,186,-33.331046,-422.379203,186,-17.78033,-164.504477
106,190,-38.70281,-447.485102,190,-18.194484,-167.364777
107,194,-38.863871,-433.178886,194,-18.274155,-167.351208
108,199,-46.113804,-448.90393,199,-18.66515,-169.41682
109,204,-42.157486,-462.198755,204,-18.957695,-171.041657
110,208,-57.341909,-388.261752,208,-19.307823,-172.695767
111,213,-47.25674,-542.857993,213,-19.700801,-174.249598
112,218,-40.777293,-621.790415,218,-19.692937,-175.015788
113,223,-40.828138,-667.634892,223,-20.108407,-179.17964
114,229,-40.585481,-683.759665,229,-20.427098,-180.727273
115,234,-40.196918,-678.020567,234,-20.799578,-182.776413
116,239,-40.577103,-701.123217,239,-21.123964,-184.602058
117,245,-40.798258,-702.215127,245,-21.803111,-188.894821
118,251,-34.536453,-737.011064,251,-22.210691,-189.592075
119,257,-33.8461,-778.382548,257,-22.398595,-190.338994
120,263,-37.865827,-793.910073,263,-22.549744,-193.401049
121,269,-39.998254,-814.198352,269,-22.748274,-195.239642
122,275,-40.17737,-844.727526,275,-23.341569,-199.887244
123,281,-40.02285,-780.78283,281,-23.63994,-200.905362
124,288,-40.362361,-827.572202,288,-23.914014,-203.757537
125,295,-41.03017,-797.467438,295,-24.373912,-205.719976
126,301,-40.723289,-807.971799,301,-24.674721,-207.779232
127,309,-42.970728,-834.190741,309,-24.889165,-208.632832
128,316,-48.648243,-787.081826,316,-25.31396,-212.977652
129,323,-44.449026,-787.646036,323,-25.446053,-214.457551
130,331,-40.439023,-755.5683,331,-26.176836,-218.786251
131,338,-38.517909,-781.699417,338,-26.257854,-219.732703
132,346,-39.996367,-795.244745,346,-26.886941,-224.678912
133,354,-40.358994,-812.847614,354,-27.101881,-227.666838
134,363,-41.921479,-822.715539,363,-27.336404,-231.324486
135,371,-39.656191,-849.867428,371,-27.951436,-236.826431
136,380,-40.376004,-947.321942,380,-28.204771,-244.489584
137,389,-50.224592,-951.395779,389,-28.656606,-242.948394
138,398,-40.321554,-917.131707,398,-29.063809,-249.566489
139,400,-37.984606,-976.620482,407,-29.722236,-251.842591
