"Frequency Response - Position"
"Axis-2: 1 - 200Hz"
"Index","Frequency","Gain","Phase"
"","Hz","dB","deg"
0,1.000000,0.271397,-15.954660
1,2.000000,-0.478162,-32.162223
2,3.000000,-1.985902,-45.406758
3,4.000000,-3.453101,-55.751522
4,5.000000,-4.858624,-63.398751
5,6.000000,-6.324163,-68.950191
6,7.000000,-7.535176,-72.670134
7,8.000000,-8.535363,-75.627673
8,9.000000,-9.551799,-78.451059
9,10.000000,-10.500472,-80.800665
10,15.000000,-13.534163,-90.044924
11,20.000000,-15.814815,-93.052071
12,25.000000,-16.515534,-96.235984
13,30.000000,-16.887952,-102.487582
14,35.000000,-16.745563,-109.156612
15,40.000000,-16.256040,-122.732819
16,45.000000,-16.398026,-143.486772
17,50.000000,-17.842152,-165.470080
18,55.000000,-22.320777,-180.717532
19,60.000000,-27.729850,-151.427847
20,65.000000,-22.467777,-153.207065
21,70.000000,-21.499590,-174.875083
22,75.000000,-22.857581,-196.078735
23,80.000000,-25.066927,-201.987881
24,85.000000,-26.845553,-210.386466
25,90.000000,-29.027915,-214.400342
26,95.000000,-28.257842,-207.786570
27,100.000000,-28.682446,-223.865557
28,105.000000,-30.040982,-233.762450
29,110.000000,-30.946090,-231.772784
30,115.000000,-31.359518,-238.797423
31,120.000000,-31.668768,-252.857076
32,125.000000,-33.861343,-260.747707
33,130.000000,-35.342736,-272.820508
34,135.000000,-36.710331,-269.947611
35,140.000000,-37.234345,-275.507982
36,145.000000,-40.679136,-269.245592
37,150.000000,-41.499287,-277.643307
38,155.000000,-41.492796,-287.328736
39,160.000000,-42.490326,-289.051837
40,165.000000,-42.083356,-289.239420
41,170.000000,-43.044371,-303.204215
42,175.000000,-43.060534,-291.606768
43,180.000000,-42.791249,-307.772937
44,185.000000,-43.116232,-303.859802
45,190.000000,-42.747933,-302.471217
46,195.000000,-42.324267,-299.134317
47,200.000000,-42.819149,-320.916173
