"Frequency Response"
"Axis-1: 1 - 1000Hz"
"Index","Frequency","Gain","Phase"
"","Hz","dB","deg"
170,510.000000,-21.846897,-226.119073
171,520.000000,-22.301030,-228.971672
172,530.000000,-22.674023,-232.192005
173,541.000000,-22.969207,-236.135150
174,551.000000,-23.440371,-238.542837
175,562.000000,-23.814918,-241.856215
176,573.000000,-24.283249,-245.422645
177,584.000000,-24.590798,-248.553523
178,595.000000,-25.115050,-251.965310
179,607.000000,-25.379423,-254.948199
180,618.000000,-25.818426,-256.980731
181,630.000000,-26.370859,-262.102905
182,643.000000,-26.798665,-263.947895
183,655.000000,-27.437539,-267.505014
184,668.000000,-27.984249,-269.850340
185,681.000000,-28.530733,-273.578106
186,694.000000,-28.932201,-274.225207
187,707.000000,-29.354412,-278.263409
188,721.000000,-30.047357,-280.628742
189,735.000000,-30.552854,-283.588868
190,749.000000,-31.015463,-285.255704
191,764.000000,-31.618699,-287.963689
192,779.000000,-32.120762,-291.855580
193,794.000000,-32.831659,-293.241388
194,809.000000,-33.468678,-297.275366
195,825.000000,-34.181314,-298.802068
196,841.000000,-34.802542,-301.276717
197,857.000000,-35.558591,-303.336634
198,874.000000,-36.205034,-304.996900
199,891.000000,-37.084832,-306.949953
200,908.000000,-37.679609,-308.333904
201,926.000000,-38.627202,-310.363976
202,944.000000,-39.492041,-311.919951
203,962.000000,-40.387857,-312.673631
204,980.000000,-41.747758,-312.696155
205,999.000000,-43.007143,-311.656494
206,1000.000000,-43.365094,-308.900478
