"Frequency Response"
"Axis-2: 10 - 1000Hz"
"Index","Frequency","Gain","Phase"
"","Hz","dB","deg"
0,10.000000,0.968575,-12.041204
1,15.000000,2.483921,-21.648078
2,20.000000,3.042655,-40.023165
3,25.000000,1.929857,-61.762362
4,30.000000,-0.397156,-76.309434
5,35.000000,-2.424194,-85.646046
6,40.000000,-4.684026,-99.012769
7,45.000000,-9.315540,-100.559248
8,50.000000,-14.374571,-79.283216
9,55.000000,-11.730513,-28.551699
10,60.000000,-5.876790,-33.578130
11,65.000000,-3.658948,-51.562732
12,70.000000,-3.726709,-67.880517
13,75.000000,-4.652458,-74.791258
14,80.000000,-4.819688,-81.703657
15,85.000000,-5.684191,-83.037911
16,90.000000,-5.977701,-76.458635
17,95.000000,-4.283260,-78.677341
18,100.000000,-3.122394,-88.371783
19,105.000000,-2.450228,-103.245021
20,110.000000,-3.424529,-120.613956
21,115.000000,-4.932367,-130.674383
22,120.000000,-6.345293,-136.861984
23,125.000000,-7.243861,-140.530032
24,130.000000,-8.085601,-145.517190
25,135.000000,-9.063076,-148.694808
26,140.000000,-9.778586,-151.463496
27,145.000000,-10.445864,-155.036829
28,150.000000,-11.220437,-158.009714
29,155.000000,-11.924990,-160.819674
30,160.000000,-12.520714,-163.082174
31,165.000000,-13.188962,-164.881688
32,170.000000,-13.762288,-167.977252
33,175.000000,-14.390458,-169.762295
34,180.000000,-14.991511,-171.806333
35,185.000000,-15.527612,-174.019700
36,190.000000,-16.097660,-176.289623
37,195.000000,-16.706234,-178.161930
38,200.000000,-17.215099,-179.434486
39,205.000000,-17.702383,-181.164480
40,210.000000,-18.256167,-183.407253
41,215.000000,-18.715227,-184.967416
42,220.000000,-19.270480,-186.935605
43,225.000000,-19.721489,-188.200161
44,230.000000,-20.298576,-190.671271
45,235.000000,-20.861492,-192.285308
46,240.000000,-21.266200,-195.000056
47,245.000000,-22.133497,-194.542572
48,250.000000,-22.236478,-195.809829
49,255.000000,-23.096067,-197.204901
50,260.000000,-23.324435,-197.292695
51,265.000000,-23.804466,-199.089447
52,270.000000,-24.042212,-199.939658
53,275.000000,-24.631355,-200.946092
54,280.000000,-24.927200,-202.356498
55,285.000000,-25.582967,-205.638168
56,290.000000,-25.911456,-205.035367
57,295.000000,-26.549997,-207.306977
58,300.000000,-26.808611,-207.137135
59,305.000000,-27.457825,-209.229535
60,310.000000,-27.782035,-209.999096
61,315.000000,-28.501053,-209.897599
62,320.000000,-28.753550,-210.790704
63,325.000000,-29.178605,-211.675388
64,330.000000,-29.698680,-213.624350
65,335.000000,-29.976627,-212.299358
66,340.000000,-30.404111,-213.540160
67,345.000000,-31.146797,-215.392509
68,350.000000,-31.206542,-213.771698
69,355.000000,-31.707094,-218.263194
70,360.000000,-31.901067,-214.787128
71,365.000000,-32.688042,-217.144666
72,370.000000,-32.999034,-217.973168
73,375.000000,-33.403352,-217.029217
74,380.000000,-33.768215,-217.756011
75,385.000000,-34.045587,-219.115562
76,390.000000,-34.198382,-220.381051
77,395.000000,-34.878551,-220.195927
