"Frequency Response"
"Axis-1: 10 - 1000Hz"
"Index","Frequency","Gain","Phase"
"","Hz","dB","deg"
165,835.000000,-53.099004,-173.084408
166,840.000000,-53.384835,-161.870852
167,845.000000,-49.122951,-161.571492
168,850.000000,-48.673508,-155.110100
169,855.000000,-46.171896,-154.709848
170,860.000000,-46.337769,-158.043398
171,865.000000,-45.063068,-158.375855
172,870.000000,-42.639309,-164.692164
173,875.000000,-42.177601,-172.259251
174,880.000000,-40.479119,-176.810839
175,885.000000,-39.310465,-190.291297
176,890.000000,-39.088912,-198.166033
177,895.000000,-37.463920,-212.671091
178,900.000000,-38.674310,-223.909950
179,905.000000,-39.378210,-244.154102
180,910.000000,-38.854070,-250.965058
181,915.000000,-42.630853,-263.427977
182,920.000000,-44.937855,-257.193900
183,925.000000,-45.939199,-249.298678
184,930.000000,-45.720744,-246.251496
185,935.000000,-47.123760,-247.852373
186,940.000000,-44.271397,-245.547928
187,945.000000,-43.963132,-252.847703
188,950.000000,-47.183288,-271.629116
189,955.000000,-44.927214,-249.165720
190,960.000000,-44.107645,-264.977725
191,965.000000,-47.843733,-257.720650
192,970.000000,-48.858704,-262.925211
193,975.000000,-45.317923,-255.276390
194,980.000000,-48.187612,-261.534439
195,985.000000,-47.641469,-258.406980
196,990.000000,-47.474192,-265.102396
197,995.000000,-47.528760,-260.296386
198,1000.000000,-47.232758,-263.164037
