"Frequency Response"
"Axis-1: 1 - 1000Hz"
"Index","Frequency","Gain","Phase"
"","Hz","dB","deg"
0,1.000000,0.326662,-12.128057
1,2.000000,-0.149383,-14.411133
2,3.000000,-0.545549,-14.604782
3,4.000000,-0.772588,-14.357929
4,5.000000,-0.908314,-14.095709
5,6.000000,-0.988213,-13.905102
6,7.000000,-1.040584,-13.803101
7,8.000000,-1.083359,-13.729177
8,9.000000,-1.102288,-13.704756
9,10.000000,-1.121002,-13.705233
10,15.000000,-1.124332,-14.815049
11,20.000000,-1.041862,-16.887246
12,25.000000,-0.972894,-19.799275
13,30.000000,-0.940110,-23.508741
14,35.000000,-1.025535,-27.404372
15,40.000000,-1.159721,-32.532354
16,45.000000,-1.651642,-37.660581
17,50.000000,-2.798261,-40.386209
18,55.000000,-2.857183,-34.265741
19,60.000000,-2.007020,-39.067819
20,65.000000,-3.008830,-48.424719
21,70.000000,-3.504600,-45.007686
22,75.000000,-3.116284,-46.018430
23,80.000000,-4.075436,-53.013460
24,85.000000,-3.594985,-48.647116
25,90.000000,-3.951254,-56.680312
26,95.000000,-4.767002,-62.005438
27,100.000000,-5.628675,-62.751483
28,105.000000,-7.029764,-64.233467
29,110.000000,-8.775653,-56.117157
30,115.000000,-8.178354,-35.522241
31,120.000000,-5.072990,-30.701040
32,125.000000,-3.181137,-45.530113
33,130.000000,-4.049395,-61.029108
34,135.000000,-4.492774,-62.230948
35,140.000000,-5.470648,-68.596002
36,145.000000,-5.606888,-69.166995
37,150.000000,-6.227131,-71.743969
38,155.000000,-6.356855,-73.252689
39,160.000000,-7.037485,-73.502883
40,165.000000,-7.361127,-73.921578
41,170.000000,-7.092195,-76.655321
42,175.000000,-7.538737,-80.027374
43,180.000000,-8.446340,-78.915877
44,185.000000,-8.121236,-80.678752
45,190.000000,-8.847005,-82.537799
46,195.000000,-8.855404,-83.435170
47,200.000000,-9.419813,-83.212224
48,205.000000,-10.003131,-85.300060
49,210.000000,-10.072984,-85.313423
50,215.000000,-10.471283,-85.455422
51,220.000000,-10.843868,-85.721869
52,225.000000,-11.453259,-86.138889
53,230.000000,-11.798554,-86.368586
54,235.000000,-12.284793,-85.793669
55,240.000000,-12.747791,-85.095859
56,245.000000,-13.254758,-84.022696
57,250.000000,-13.855245,-82.695864
58,255.000000,-14.579630,-79.422710
59,260.000000,-14.866534,-73.907485
60,265.000000,-15.313221,-66.332612
61,270.000000,-15.209364,-60.514293
62,275.000000,-14.620424,-57.939976
63,280.000000,-14.746300,-52.795576
64,285.000000,-14.146821,-44.349065
65,290.000000,-13.128227,-41.843018
66,295.000000,-12.444196,-42.790482
67,300.000000,-11.850583,-38.578600
68,305.000000,-10.797166,-34.948983
69,310.000000,-8.743853,-36.355090
70,315.000000,-7.872047,-44.036357
71,320.000000,-7.161175,-48.259633
72,325.000000,-6.441752,-53.767940
73,330.000000,-6.237664,-61.389926
74,335.000000,-6.082456,-66.817939
75,340.000000,-6.257882,-73.500349
76,345.000000,-6.235235,-79.542840
77,350.000000,-7.251202,-84.917670
78,355.000000,-7.306972,-84.375428
79,360.000000,-7.588050,-87.408648
80,365.000000,-7.702593,-90.415736
81,370.000000,-7.847927,-90.907152
82,375.000000,-8.350714,-93.188080
83,380.000000,-8.972063,-94.589660
84,385.000000,-8.852912,-96.870414
85,390.000000,-8.919691,-95.411187
86,395.000000,-8.701840,-97.482651
87,400.000000,-9.214151,-98.399610
88,405.000000,-9.547398,-101.829300
89,410.000000,-9.738111,-102.436121
90,415.000000,-9.949088,-102.516419
91,420.000000,-9.810282,-102.033827
92,425.000000,-10.143844,-104.517869
93,430.000000,-10.145296,-104.519397
94,435.000000,-10.074039,-103.964235
95,440.000000,-10.548355,-106.151624
96,445.000000,-10.272859,-108.005130
97,450.000000,-10.452547,-109.585812
98,455.000000,-11.169664,-108.826547
99,460.000000,-10.710219,-111.114352
100,465.000000,-11.107895,-110.412018
101,470.000000,-11.018599,-115.893291
102,475.000000,-10.610836,-108.979991
103,480.000000,-11.528857,-115.121743
104,485.000000,-11.600767,-122.902708
105,490.000000,-10.940221,-118.081752
106,495.000000,-11.382556,-120.283719
107,500.000000,-11.452453,-121.536208
108,505.000000,-11.408028,-121.398884
109,510.000000,-11.778060,-127.869485
110,515.000000,-11.817436,-126.373894
111,520.000000,-12.612835,-130.727246
112,525.000000,-12.782237,-128.406807
113,530.000000,-12.457629,-133.589281
114,535.000000,-12.491718,-133.939811
115,540.000000,-13.012698,-134.006948
116,545.000000,-12.882137,-138.112472
117,550.000000,-13.270767,-136.598809
118,555.000000,-13.090919,-143.420866
119,560.000000,-13.413978,-137.969520
120,565.000000,-13.623735,-144.708095
121,570.000000,-13.671582,-144.207418
122,575.000000,-13.753629,-144.018601
123,580.000000,-13.874126,-144.895398
124,585.000000,-14.018966,-149.773559
125,590.000000,-14.122519,-148.264061
126,595.000000,-14.137541,-152.346496
127,600.000000,-14.471818,-152.611383
128,605.000000,-14.584887,-152.934179
129,610.000000,-14.640349,-156.341867
130,615.000000,-15.029982,-153.856151
131,620.000000,-15.161658,-157.852165
132,625.000000,-15.359244,-158.723537
133,630.000000,-15.157029,-159.112330
134,635.000000,-15.372886,-160.217427
135,640.000000,-15.655403,-160.592667
136,645.000000,-15.943009,-161.385929
137,650.000000,-15.899989,-164.507965
138,655.000000,-15.780325,-166.331366
139,660.000000,-16.238727,-162.116906
140,665.000000,-16.378891,-166.378432
141,670.000000,-16.440121,-168.026488
142,675.000000,-16.581146,-166.575263
143,680.000000,-16.724010,-171.037781
144,685.000000,-16.463208,-171.541163
145,690.000000,-16.890745,-173.187233
146,695.000000,-17.340499,-173.028959
147,700.000000,-17.206376,-174.528166
148,705.000000,-17.854608,-174.584146
149,710.000000,-17.932058,-173.604445
150,715.000000,-18.312944,-174.970115
151,720.000000,-17.856788,-175.471316
152,725.000000,-18.026988,-170.811582
153,730.000000,-18.980800,-170.277974
154,735.000000,-18.709877,-168.103737
155,740.000000,-17.489317,-162.539271
156,745.000000,-18.410432,-163.278753
157,750.000000,-17.480940,-161.801256
158,755.000000,-17.127957,-167.078099
159,760.000000,-16.761678,-172.207538
160,765.000000,-17.559955,-179.527307
161,770.000000,-18.364632,-176.765642
162,775.000000,-18.775778,-181.550480
163,780.000000,-19.514930,-177.075935
164,785.000000,-18.958063,-174.737193
165,790.000000,-18.486036,-171.382118
166,795.000000,-17.848278,-176.528474
167,800.000000,-18.150368,-179.595015
168,805.000000,-18.604003,-184.415133
169,810.000000,-18.977843,-189.072052
170,815.000000,-20.220064,-192.615521
171,820.000000,-21.888347,-183.673216
172,825.000000,-21.590247,-176.031495
173,830.000000,-20.536883,-165.610750
174,835.000000,-19.885920,-175.141970
175,840.000000,-19.460162,-170.993612
