"Frequency Response"
"Axis-1: 1 - 1000Hz"
"Index","Frequency","Gain","Phase"
"","Hz","dB","deg"
0,1.000000,0.359714,-6.761499
1,2.000000,0.103581,-8.156776
2,3.000000,-0.080638,-8.336230
3,4.000000,-0.181055,-8.328534
4,5.000000,-0.227179,-8.335333
5,6.000000,-0.242219,-8.410724
6,7.000000,-0.235316,-8.537418
7,8.000000,-0.215637,-8.745388
8,9.000000,-0.180878,-9.017429
9,10.000000,-0.140825,-9.353064
10,15.000000,0.098110,-12.285017
11,20.000000,0.284627,-16.611170
12,25.000000,0.318667,-21.644948
13,30.000000,0.213090,-27.202187
14,35.000000,-0.056142,-32.302011
15,40.000000,-0.399136,-38.408348
16,45.000000,-1.148779,-44.113265
17,50.000000,-2.493026,-45.390190
18,55.000000,-2.375847,-40.205694
19,60.000000,-1.755742,-45.195928
20,65.000000,-3.192279,-54.407771
21,70.000000,-3.574088,-50.364996
22,75.000000,-3.244147,-51.935464
23,80.000000,-4.567386,-55.994901
24,85.000000,-3.696906,-52.616169
25,90.000000,-4.101792,-61.045300
26,95.000000,-5.219848,-66.327505
27,100.000000,-6.054601,-66.504865
28,105.000000,-7.790882,-67.794669
29,110.000000,-9.808399,-55.166667
30,115.000000,-8.230504,-30.667291
31,120.000000,-4.419694,-30.444578
32,125.000000,-2.817924,-49.873839
33,130.000000,-4.264924,-65.353733
34,135.000000,-4.742478,-65.172038
35,140.000000,-5.772232,-70.418006
36,145.000000,-5.871374,-71.008621
37,150.000000,-6.514453,-73.147478
38,155.000000,-6.726450,-74.883666
39,160.000000,-7.210947,-74.127252
40,165.000000,-7.494332,-74.864547
41,170.000000,-7.404863,-78.457391
42,175.000000,-8.102173,-81.037528
43,180.000000,-8.643692,-78.920918
44,185.000000,-8.530569,-83.020825
45,190.000000,-9.238986,-82.290401
46,195.000000,-9.331094,-84.509157
47,200.000000,-9.730239,-83.951157
48,205.000000,-10.509162,-85.259155
49,210.000000,-10.667796,-86.102429
50,215.000000,-10.959247,-86.176922
51,220.000000,-11.317225,-86.145348
52,225.000000,-12.037399,-86.625287
53,230.000000,-12.494115,-86.455548
54,235.000000,-12.965898,-85.491568
55,240.000000,-13.555130,-84.611878
56,245.000000,-14.159964,-82.771273
57,250.000000,-14.847786,-80.017759
58,255.000000,-15.724243,-75.101279
59,260.000000,-15.719313,-66.643893
60,265.000000,-15.994318,-58.280590
61,270.000000,-15.378720,-50.249106
62,275.000000,-14.327613,-47.689367
63,280.000000,-13.781624,-42.250698
64,285.000000,-12.626589,-36.994865
65,290.000000,-11.379106,-35.925650
66,295.000000,-10.376273,-39.569147
67,300.000000,-9.752293,-39.610071
68,305.000000,-8.807484,-39.523123
69,310.000000,-7.269074,-44.730352
70,315.000000,-6.736788,-53.921201
71,320.000000,-6.405292,-60.319163
72,325.000000,-6.365110,-66.551078
73,330.000000,-6.692397,-73.581958
74,335.000000,-6.481466,-77.809469
75,340.000000,-6.787015,-88.342111
76,345.000000,-6.937121,-96.661254
77,350.000000,-7.865717,-102.646109
78,355.000000,-7.972563,-102.269439
79,360.000000,-8.087185,-109.108216
80,365.000000,-8.423135,-114.960289
81,370.000000,-8.628662,-115.148532
82,375.000000,-9.241959,-119.129351
83,380.000000,-9.759627,-122.755170
84,385.000000,-9.883304,-126.824205
85,390.000000,-10.306286,-124.238172
86,395.000000,-10.176246,-128.933995
87,400.000000,-10.787218,-130.459419
88,405.000000,-11.051804,-136.634679
89,410.000000,-11.516999,-138.048332
90,415.000000,-11.654633,-137.924489
91,420.000000,-11.994097,-137.727625
92,425.000000,-12.305138,-143.284621
93,430.000000,-12.707972,-143.063556
94,435.000000,-12.841551,-143.306853
95,440.000000,-13.128340,-147.638882
96,445.000000,-13.458580,-148.301160
97,450.000000,-13.186377,-150.660548
98,455.000000,-14.128490,-152.534318
99,460.000000,-13.958897,-150.770398
100,465.000000,-14.352368,-154.648401
101,470.000000,-14.505015,-152.702530
102,475.000000,-15.269685,-150.653550
103,480.000000,-14.685456,-159.212369
104,485.000000,-15.090688,-158.762870
105,490.000000,-15.359601,-155.684441
106,495.000000,-15.381862,-158.466995
107,500.000000,-15.742503,-157.884623
108,505.000000,-16.008972,-160.074355
109,510.000000,-16.028841,-162.506567
110,515.000000,-16.160792,-164.204701
111,520.000000,-16.301399,-168.096775
112,525.000000,-17.103550,-167.890039
113,530.000000,-17.504482,-165.995348
114,535.000000,-16.697838,-168.392768
115,540.000000,-17.197805,-170.059607
116,545.000000,-17.648922,-168.973583
117,550.000000,-17.944027,-170.764238
118,555.000000,-17.753593,-171.733463
119,560.000000,-18.333262,-171.494788
120,565.000000,-18.192482,-172.831306
121,570.000000,-18.391482,-176.129071
122,575.000000,-18.726566,-177.261507
123,580.000000,-18.884305,-175.511590
124,585.000000,-18.986725,-177.363402
125,590.000000,-19.213321,-178.513439
126,595.000000,-19.279129,-179.553438
127,600.000000,-19.385842,-179.856219
128,605.000000,-19.751497,-180.907315
129,610.000000,-19.713555,-180.717079
130,615.000000,-19.982587,-182.129020
131,620.000000,-20.336845,-182.346561
132,625.000000,-20.396581,-183.870512
133,630.000000,-20.459128,-183.241911
