"Frequency Response"
"Axis-1: 1 - 1000Hz"
"Index","Frequency","Gain","Phase"
"","Hz","dB","deg"
165,790.000000,-17.139373,-148.259186
166,795.000000,-16.158039,-150.935282
167,800.000000,-15.304706,-152.898149
168,805.000000,-15.280392,-159.200881
169,810.000000,-15.238165,-166.581641
170,815.000000,-16.126802,-164.654749
171,820.000000,-17.336784,-172.026112
172,825.000000,-19.716682,-173.443796
173,830.000000,-18.261452,-140.389327
174,835.000000,-17.944082,-149.620506
175,840.000000,-16.155677,-149.504618
176,845.000000,-16.046045,-131.599155
177,850.000000,-16.673452,-140.008808
178,855.000000,-14.981425,-145.305750
179,860.000000,-14.268050,-146.121956
180,865.000000,-13.673685,-143.138882
181,870.000000,-13.326324,-155.246796
182,875.000000,-14.245543,-148.345013
183,880.000000,-13.656290,-147.867322
184,885.000000,-12.773113,-159.005720
185,890.000000,-13.125359,-151.503284
186,895.000000,-12.237191,-162.880856
187,900.000000,-12.474286,-156.063234
188,905.000000,-12.165038,-166.503483
189,910.000000,-12.168358,-166.662545
190,915.000000,-12.087496,-169.190911
191,920.000000,-12.542878,-170.777454
192,925.000000,-12.522589,-173.236920
193,930.000000,-12.439619,-172.687961
194,935.000000,-12.237822,-169.992234
195,940.000000,-12.062908,-177.614465
196,945.000000,-11.337370,-182.963217
197,950.000000,-12.639436,-186.803846
198,955.000000,-12.482705,-184.218197
199,960.000000,-12.901906,-192.199574
200,965.000000,-13.257235,-192.355532
201,970.000000,-14.520362,-192.037842
202,975.000000,-13.060648,-190.300269
203,980.000000,-14.182640,-187.229752
204,985.000000,-14.358985,-193.505094
205,990.000000,-14.410628,-196.125755
206,995.000000,-14.463724,-197.563013
207,1000.000000,-14.475913,-193.829067
