TCMD,FRTCM,FREQ
0.151057402,0,1
0.109859929,0,1
0.096127438,0,1
0.137324911,0,1
0.164789893,-0.041197473,1
0.137324911,-0.041197473,1
0.12359242,-0.041197473,1
0.12359242,-0.041197473,1
0.096127438,-0.082394946,1
0.12359242,-0.082394946,1
0.082394946,-0.082394946,1
0.054929964,-0.12359242,1
0.082394946,-0.12359242,1
0.096127438,-0.12359242,1
0.12359242,-0.12359242,1
0.041197473,-0.164789893,1
0.12359242,-0.164789893,1
0.082394946,-0.164789893,1
0.068662455,-0.164789893,1
0.068662455,-0.205987366,1
0.054929964,-0.205987366,1
0.068662455,-0.205987366,1
0.068662455,-0.205987366,1
0.068662455,-0.247184839,1
0.082394946,-0.247184839,1
0.054929964,-0.247184839,1
0.068662455,-0.247184839,1
0.054929964,-0.288382313,1
0.068662455,-0.288382313,1
0.082394946,-0.288382313,1
0.054929964,-0.288382313,1
0.068662455,-0.329579786,1
0.082394946,-0.329579786,1
0.068662455,-0.329579786,1
0.054929964,-0.329579786,1
0.12359242,-0.370777259,1
0.054929964,-0.370777259,1
0.068662455,-0.370777259,1
0.096127438,-0.370777259,1
0.068662455,-0.411974732,1
0.054929964,-0.411974732,1
0.041197473,-0.411974732,1
0.054929964,-0.411974732,1
0.054929964,-0.453172205,1
0.027464982,-0.453172205,1
0.013732491,-0.453172205,1
0.041197473,-0.453172205,1
0.041197473,-0.494369679,1
0.068662455,-0.494369679,1
0,-0.494369679,1
0.054929964,-0.494369679,1
0.041197473,-0.535567152,1
0.013732491,-0.535567152,1
0.027464982,-0.535567152,1
0.013732491,-0.576764625,1
0.013732491,-0.576764625,1
0,-0.576764625,1
0.013732491,-0.576764625,1
-0.013732491,-0.617962098,1
0.027464982,-0.617962098,1
0.027464982,-0.617962098,1
0,-0.617962098,1
0.013732491,-0.659159572,1
-0.041197473,-0.659159572,1
0,-0.659159572,1
0,-0.659159572,1
-0.013732491,-0.714089536,1
0,-0.714089536,1
-0.013732491,-0.714089536,1
-0.054929964,-0.714089536,1
0,-0.755287009,1
-0.041197473,-0.755287009,1
-0.041197473,-0.755287009,1
-0.027464982,-0.755287009,1
-0.054929964,-0.796484482,1
-0.013732491,-0.796484482,1
-0.027464982,-0.796484482,1
-0.027464982,-0.796484482,1
0,-0.837681956,1
-0.041197473,-0.837681956,1
-0.068662455,-0.837681956,1
-0.013732491,-0.837681956,1
-0.068662455,-0.878879429,1
-0.054929964,-0.878879429,1
-0.082394946,-0.878879429,1
-0.054929964,-0.878879429,1
-0.082394946,-0.920076902,1
-0.054929964,-0.920076902,1
-0.082394946,-0.920076902,1
-0.082394946,-0.920076902,1
-0.068662455,-0.961274375,1
-0.096127438,-0.961274375,1
-0.082394946,-0.961274375,1
-0.109859929,-0.961274375,1
-0.068662455,-1.002471848,1
-0.109859929,-1.002471848,1
-0.096127438,-1.002471848,1
-0.096127438,-1.043669322,1
-0.109859929,-1.043669322,1
-0.109859929,-1.043669322,1
-0.137324911,-1.043669322,1
-0.151057402,-1.084866795,1
-0.12359242,-1.084866795,1
-0.178522384,-1.084866795,1
-0.137324911,-1.084866795,1
-0.12359242,-1.126064268,1
-0.137324911,-1.126064268,1
-0.164789893,-1.126064268,1
-0.137324911,-1.126064268,1
-0.12359242,-1.167261741,1
-0.109859929,-1.167261741,1
-0.178522384,-1.167261741,1
-0.151057402,-1.167261741,1
-0.151057402,-1.208459215,1
-0.109859929,-1.208459215,1
-0.164789893,-1.208459215,1
-0.164789893,-1.208459215,1
-0.151057402,-1.249656688,1
-0.178522384,-1.249656688,1
-0.178522384,-1.249656688,1
-0.192254875,-1.249656688,1
-0.178522384,-1.290854161,1
-0.137324911,-1.290854161,1
-0.205987366,-1.290854161,1
-0.178522384,-1.290854161,1
-0.178522384,-1.332051634,1
-0.219719857,-1.332051634,1
-0.205987366,-1.332051634,1
-0.164789893,-1.332051634,1
-0.192254875,-1.373249107,1
-0.205987366,-1.373249107,1
-0.205987366,-1.373249107,1
-0.247184839,-1.373249107,1
-0.205987366,-1.414446581,1
-0.219719857,-1.414446581,1
-0.233452348,-1.414446581,1
-0.205987366,-1.455644054,1
-0.233452348,-1.455644054,1
-0.233452348,-1.455644054,1
-0.205987366,-1.455644054,1
-0.302114804,-1.496841527,1
-0.233452348,-1.496841527,1
-0.233452348,-1.496841527,1
-0.302114804,-1.496841527,1
-0.274649821,-1.538039,1
-0.274649821,-1.538039,1
-0.26091733,-1.538039,1
-0.302114804,-1.538039,1
-0.343312277,-1.579236473,1
-0.274649821,-1.579236473,1
-0.274649821,-1.579236473,1
-0.315847295,-1.579236473,1
-0.343312277,-1.620433947,1
-0.315847295,-1.620433947,1
-0.329579786,-1.620433947,1
-0.329579786,-1.620433947,1
-0.370777259,-1.66163142,1
-0.343312277,-1.66163142,1
-0.329579786,-1.66163142,1
-0.343312277,-1.66163142,1
-0.343312277,-1.702828893,1
-0.357044768,-1.702828893,1
-0.370777259,-1.702828893,1
-0.370777259,-1.702828893,1
-0.370777259,-1.744026366,1
-0.343312277,-1.744026366,1
-0.370777259,-1.744026366,1
-0.425707223,-1.744026366,1
-0.357044768,-1.78522384,1
-0.38450975,-1.78522384,1
-0.411974732,-1.78522384,1
-0.38450975,-1.78522384,1
-0.398242241,-1.826421313,1
-0.370777259,-1.826421313,1
-0.398242241,-1.826421313,1
-0.425707223,-1.826421313,1
-0.398242241,-1.867618786,1
-0.411974732,-1.867618786,1
-0.480637188,-1.867618786,1
-0.425707223,-1.908816259,1
-0.439439714,-1.908816259,1
-0.425707223,-1.908816259,1
-0.453172205,-1.908816259,1
-0.466904697,-1.950013732,1
-0.453172205,-1.950013732,1
-0.453172205,-1.950013732,1
-0.466904697,-1.950013732,1
-0.411974732,-1.977478715,1
-0.466904697,-1.977478715,1
-0.466904697,-1.977478715,1
-0.439439714,-1.977478715,1
-0.466904697,-2.018676188,1
-0.466904697,-2.018676188,1
-0.50810217,-2.018676188,1
-0.480637188,-2.018676188,1
-0.480637188,-2.059873661,1
-0.549299643,-2.059873661,1
-0.453172205,-2.059873661,1
-0.480637188,-2.059873661,1
-0.494369679,-2.101071134,1
-0.494369679,-2.101071134,1
-0.535567152,-2.101071134,1
-0.466904697,-2.101071134,1
-0.521834661,-2.142268608,1
-0.549299643,-2.142268608,1
-0.480637188,-2.142268608,1
-0.50810217,-2.142268608,1
-0.494369679,-2.183466081,1
-0.494369679,-2.183466081,1
-0.590497116,-2.183466081,1
-0.521834661,-2.183466081,1
-0.590497116,-2.224663554,1
-0.590497116,-2.224663554,1
-0.521834661,-2.224663554,1
-0.563032134,-2.224663554,1
-0.617962098,-2.265861027,1
-0.521834661,-2.265861027,1
-0.590497116,-2.265861027,1
-0.563032134,-2.265861027,1
-0.549299643,-2.3070585,1
-0.617962098,-2.3070585,1
-0.604229607,-2.3070585,1
-0.604229607,-2.348255974,1
-0.659159572,-2.348255974,1
-0.672892063,-2.348255974,1
-0.714089536,-2.348255974,1
-0.741554518,-2.389453447,1
-0.64542708,-2.389453447,1
-0.810216973,-2.389453447,1
-0.64542708,-2.389453447,1
-0.64542708,-2.416918429,1
-0.741554518,-2.416918429,1
-0.700357045,-2.416918429,1
-0.700357045,-2.416918429,1
-0.700357045,-2.458115902,1
-0.686624554,-2.458115902,1
-0.755287009,-2.458115902,1
-0.672892063,-2.458115902,1
-0.714089536,-2.499313375,1
-0.7690195,-2.499313375,1
-0.700357045,-2.499313375,1
-0.7690195,-2.499313375,1
-0.700357045,-2.540510849,1
-0.782751991,-2.540510849,1
-0.7690195,-2.540510849,1
-0.755287009,-2.540510849,1
-0.823949464,-2.581708322,1
-0.7690195,-2.581708322,1
-0.796484482,-2.581708322,1
-0.823949464,-2.581708322,1
-0.7690195,-2.622905795,1
-0.823949464,-2.622905795,1
-0.796484482,-2.622905795,1
-0.810216973,-2.622905795,1
-0.837681956,-2.650370777,1
-0.810216973,-2.650370777,1
-0.851414447,-2.650370777,1
-0.851414447,-2.650370777,1
-0.782751991,-2.69156825,1
-0.878879429,-2.69156825,1
-0.865146938,-2.69156825,1
-0.878879429,-2.732765724,1
-0.837681956,-2.732765724,1
-0.865146938,-2.732765724,1
-0.851414447,-2.732765724,1
-0.865146938,-2.773963197,1
-0.865146938,-2.773963197,1
-0.878879429,-2.773963197,1
-0.851414447,-2.773963197,1
-0.878879429,-2.81516067,1
-0.920076902,-2.81516067,1
-0.920076902,-2.81516067,1
-0.89261192,-2.81516067,1
-0.933809393,-2.856358143,1
-0.933809393,-2.856358143,1
-1.002471848,-2.856358143,1
-0.961274375,-2.856358143,1
-0.933809393,-2.883823126,1
-0.961274375,-2.883823126,1
-0.975006866,-2.883823126,1
-0.988739357,-2.883823126,1
-1.016204339,-2.925020599,1
-0.961274375,-2.925020599,1
-1.016204339,-2.925020599,1
-1.057401813,-2.925020599,1
-1.002471848,-2.966218072,1
-0.975006866,-2.966218072,1
-1.002471848,-2.966218072,1
-0.988739357,-2.966218072,1
-1.002471848,-3.007415545,1
-1.029936831,-3.007415545,1
-1.029936831,-3.007415545,1
-1.071134304,-3.007415545,1
-1.029936831,-3.034880527,1
-1.043669322,-3.034880527,1
-1.057401813,-3.034880527,1
-1.029936831,-3.034880527,1
-1.057401813,-3.076078001,1
-1.084866795,-3.076078001,1
-1.098599286,-3.076078001,1
-1.057401813,-3.076078001,1
-1.071134304,-3.117275474,1
-1.071134304,-3.117275474,1
-1.112331777,-3.117275474,1
-1.126064268,-3.158472947,1
-1.098599286,-3.158472947,1
-1.112331777,-3.158472947,1
-1.139796759,-3.158472947,1
-1.167261741,-3.185937929,1
-1.126064268,-3.185937929,1
-1.167261741,-3.185937929,1
-1.180994232,-3.185937929,1
-1.180994232,-3.227135402,1
-1.167261741,-3.227135402,1
-1.15352925,-3.227135402,1
-1.235924197,-3.227135402,1
-1.194726723,-3.268332876,1
-1.180994232,-3.268332876,1
-1.235924197,-3.268332876,1
-1.249656688,-3.268332876,1
-1.249656688,-3.295797858,1
-1.222191706,-3.295797858,1
-1.249656688,-3.295797858,1
-1.249656688,-3.295797858,1
-1.249656688,-3.336995331,1
-1.263389179,-3.336995331,1
-1.263389179,-3.336995331,1
-1.290854161,-3.336995331,1
-1.263389179,-3.378192804,1
-1.290854161,-3.378192804,1
-1.290854161,-3.378192804,1
-1.304586652,-3.378192804,1
-1.290854161,-3.405657786,1
-1.263389179,-3.405657786,1
-1.345784125,-3.405657786,1
-1.290854161,-3.405657786,1
-1.318319143,-3.44685526,1
-1.345784125,-3.44685526,1
-1.290854161,-3.44685526,1
-1.359516616,-3.44685526,1
-1.359516616,-3.488052733,1
-1.304586652,-3.488052733,1
-1.345784125,-3.488052733,1
-1.359516616,-3.488052733,1
-1.345784125,-3.515517715,1
-1.386981598,-3.515517715,1
-1.318319143,-3.515517715,1
-1.428179072,-3.556715188,1
-1.386981598,-3.556715188,1
-1.359516616,-3.556715188,1
-1.428179072,-3.556715188,1
-1.373249107,-3.597912661,1
-1.386981598,-3.597912661,1
-1.428179072,-3.597912661,1
-1.386981598,-3.597912661,1
-1.455644054,-3.625377644,1
-1.441911563,-3.625377644,1
-1.469376545,-3.625377644,1
-1.441911563,-3.625377644,1
-1.455644054,-3.666575117,1
-1.496841527,-3.666575117,1
-1.551771491,-3.666575117,1
-1.565503982,-3.666575117,1
-1.551771491,-3.694040099,1
-1.565503982,-3.694040099,1
-1.524306509,-3.694040099,1
-1.579236473,-3.694040099,1
-1.579236473,-3.735237572,1
-1.579236473,-3.735237572,1
-1.524306509,-3.735237572,1
-1.551771491,-3.735237572,1
-1.606701456,-3.762702554,1
-1.592968965,-3.762702554,1
-1.579236473,-3.762702554,1
-1.606701456,-3.762702554,1
-1.620433947,-3.803900027,1
-1.647898929,-3.803900027,1
-1.606701456,-3.803900027,1
-1.606701456,-3.803900027,1
-1.66163142,-3.845097501,1
-1.634166438,-3.845097501,1
-1.634166438,-3.845097501,1
-1.66163142,-3.845097501,1
-1.689096402,-3.872562483,1
-1.675363911,-3.872562483,1
-1.689096402,-3.872562483,1
-1.689096402,-3.913759956,1
-1.730293875,-3.913759956,1
-1.730293875,-3.913759956,1
-1.757758857,-3.913759956,1
-1.730293875,-3.941224938,1
-1.744026366,-3.941224938,1
-1.744026366,-3.941224938,1
-1.771491349,-3.941224938,1
-1.78522384,-3.982422411,1
-1.78522384,-3.982422411,1
-1.78522384,-3.982422411,1
-1.78522384,-3.982422411,1
-1.78522384,-4.009887394,1
-1.744026366,-4.009887394,1
-1.812688822,-4.009887394,1
-1.840153804,-4.009887394,1
-1.771491349,-4.051084867,1
-1.853886295,-4.051084867,1
-1.826421313,-4.051084867,1
-1.908816259,-4.051084867,1
-1.867618786,-4.078549849,1
-1.853886295,-4.078549849,1
-2.059873661,-4.078549849,1
-1.840153804,-4.078549849,1
-1.812688822,-4.119747322,1
-1.908816259,-4.119747322,1
-1.867618786,-4.119747322,1
-1.908816259,-4.119747322,1
-1.908816259,-4.147212304,1
-1.895083768,-4.147212304,1
-1.936281241,-4.147212304,1
-1.950013732,-4.147212304,1
-1.867618786,-4.174677286,1
-1.950013732,-4.174677286,1
-1.908816259,-4.174677286,1
-1.950013732,-4.174677286,1
-1.92254875,-4.21587476,1
-1.950013732,-4.21587476,1
-1.950013732,-4.21587476,1
-1.977478715,-4.21587476,1
-1.977478715,-4.243339742,1
-1.977478715,-4.243339742,1
-2.004943697,-4.243339742,1
-1.963746224,-4.284537215,1
-1.963746224,-4.284537215,1
-2.032408679,-4.284537215,1
-2.032408679,-4.284537215,1
-2.018676188,-4.312002197,1
-2.004943697,-4.312002197,1
-2.059873661,-4.312002197,1
-2.087338643,-4.312002197,1
-2.059873661,-4.339467179,1
-2.018676188,-4.339467179,1
-2.128536116,-4.339467179,1
-2.101071134,-4.339467179,1
-2.101071134,-4.380664653,1
-2.087338643,-4.380664653,1
-2.128536116,-4.380664653,1
-2.156001099,-4.380664653,1
-2.087338643,-4.408129635,1
-2.114803625,-4.408129635,1
-2.16973359,-4.408129635,1
-2.128536116,-4.408129635,1
-2.156001099,-4.435594617,1
-2.156001099,-4.435594617,1
-2.156001099,-4.435594617,1
-2.197198572,-4.435594617,1
-2.210931063,-4.47679209,1
-2.16973359,-4.47679209,1
-2.279593518,-4.47679209,1
-2.210931063,-4.47679209,1
-2.279593518,-4.504257072,1
-2.183466081,-4.504257072,1
-2.293326009,-4.504257072,1
-2.293326009,-4.504257072,1
-2.252128536,-4.531722054,1
-2.252128536,-4.531722054,1
-2.320790991,-4.531722054,1
-2.3070585,-4.531722054,1
-2.334523483,-4.572919528,1
-2.320790991,-4.572919528,1
-2.3070585,-4.572919528,1
-2.375720956,-4.572919528,1
-2.334523483,-4.60038451,1
-2.334523483,-4.60038451,1
-2.361988465,-4.60038451,1
-2.375720956,-4.627849492,1
-2.334523483,-4.627849492,1
-2.348255974,-4.627849492,1
-2.361988465,-4.627849492,1
-2.403185938,-4.655314474,1
-2.375720956,-4.655314474,1
-2.361988465,-4.655314474,1
-2.389453447,-4.655314474,1
-2.389453447,-4.696511947,1
-2.403185938,-4.696511947,1
-2.43065092,-4.696511947,1
-2.444383411,-4.696511947,1
-2.499313375,-4.723976929,1
-2.471848393,-4.723976929,1
-2.499313375,-4.723976929,1
-2.485580884,-4.723976929,1
-2.458115902,-4.751441912,1
-2.485580884,-4.751441912,1
-2.513045867,-4.751441912,1
-2.471848393,-4.751441912,1
-2.499313375,-4.778906894,1
-2.485580884,-4.778906894,1
-2.499313375,-4.778906894,1
-2.55424334,-4.778906894,1
-2.540510849,-4.820104367,1
-2.540510849,-4.820104367,1
-2.526778358,-4.820104367,1
-2.55424334,-4.820104367,1
-2.581708322,-4.847569349,1
-2.526778358,-4.847569349,1
-2.567975831,-4.847569349,1
-2.609173304,-4.847569349,1
-2.55424334,-4.875034331,1
-2.595440813,-4.875034331,1
-2.55424334,-4.875034331,1
-2.595440813,-4.875034331,1
-2.650370777,-4.902499313,1
-2.581708322,-4.902499313,1
-2.567975831,-4.902499313,1
-2.677835759,-4.929964296,1
-2.622905795,-4.929964296,1
-2.69156825,-4.929964296,1
-2.622905795,-4.929964296,1
-2.650370777,-4.957429278,1
-2.69156825,-4.957429278,1
-2.622905795,-4.957429278,1
