"Frequency Response"
"Axis-1: 1 - 1000Hz"
"Index","Frequency","Gain","Phase"
"","Hz","dB","deg"
165,790.000000,-16.210141,-164.836826
166,795.000000,-16.293054,-178.567147
167,800.000000,-17.223682,-182.080645
168,805.000000,-17.393348,-177.237606
169,810.000000,-17.074131,-184.918367
170,815.000000,-17.684302,-192.623076
171,820.000000,-18.567268,-185.908819
172,825.000000,-18.608136,-184.546681
173,830.000000,-18.544645,-186.203443
174,835.000000,-19.023254,-190.033922
175,840.000000,-19.151168,-191.246711
176,845.000000,-20.204955,-191.808551
177,850.000000,-20.186506,-179.686306
178,855.000000,-20.276180,-177.487716
179,860.000000,-19.501269,-176.741443
180,865.000000,-19.923379,-176.676044
181,870.000000,-19.113109,-176.368651
182,875.000000,-18.141599,-172.538261
183,880.000000,-18.058300,-181.185399
184,885.000000,-17.903230,-182.672978
185,890.000000,-17.870751,-181.887102
186,895.000000,-17.497596,-186.682860
187,900.000000,-17.872326,-189.335689
188,905.000000,-17.420306,-192.325091
189,910.000000,-17.895075,-195.140584
190,915.000000,-17.771282,-193.582290
191,920.000000,-17.574923,-197.278556
192,925.000000,-17.743019,-196.876919
193,930.000000,-17.272328,-200.499385
194,935.000000,-16.977723,-205.525935
195,940.000000,-17.631842,-208.959037
196,945.000000,-18.545562,-211.419358
197,950.000000,-18.526357,-214.025334
198,955.000000,-18.931911,-212.308867
199,960.000000,-19.079393,-213.702401
200,965.000000,-19.908254,-213.151957
201,970.000000,-18.779469,-215.634823
202,975.000000,-19.475448,-210.327147
203,980.000000,-20.303686,-219.590491
204,985.000000,-19.401274,-218.379075
205,990.000000,-20.591057,-220.134476
206,995.000000,-20.336008,-218.373589
207,1000.000000,-20.409313,-218.528278
