SamplingRate:0.25ms,,
,,
X-TCMD,X-FRTCM,X-FREQ
%,%,Hz
0.054929964,0,1
0.027464982,0,1
0.054929964,0,1
0.041197475,0,1
0.068662457,-0.08239495,1
0.054929964,-0.08239495,1
0.041197475,-0.08239495,1
0.054929964,-0.08239495,1
0.041197475,-0.1647899,1
0.041197475,-0.1647899,1
0.013732491,-0.1647899,1
0.013732491,-0.1647899,1
0.027464982,-0.247184843,1
0.041197475,-0.247184843,1
0.013732491,-0.247184843,1
0,-0.247184843,1
0,-0.3295798,1
0,-0.3295798,1
-0.027464982,-0.3295798,1
-0.027464982,-0.3295798,1
-0.013732491,-0.411974728,1
-0.041197475,-0.411974728,1
-0.027464982,-0.411974728,1
-0.068662457,-0.494369686,1
-0.068662457,-0.494369686,1
-0.041197475,-0.494369686,1
-0.068662457,-0.494369686,1
-0.041197475,-0.576764643,1
-0.041197475,-0.576764643,1
-0.054929964,-0.576764643,1
-0.027464982,-0.576764643,1
-0.096127436,-0.672892034,1
-0.068662457,-0.672892034,1
-0.08239495,-0.672892034,1
-0.096127436,-0.672892034,1
-0.08239495,-0.755286992,1
-0.068662457,-0.755286992,1
-0.08239495,-0.755286992,1
-0.08239495,-0.755286992,1
-0.096127436,-0.837681949,1
-0.096127436,-0.837681949,1
-0.109859928,-0.837681949,1
-0.096127436,-0.837681949,1
-0.109859928,-0.920076907,1
-0.137324914,-0.920076907,1
-0.1647899,-0.920076907,1
-0.137324914,-0.920076907,1
-0.151057407,-1.002471805,1
-0.1647899,-1.002471805,1
-0.1647899,-1.002471805,1
-0.178522378,-1.002471805,1
-0.151057407,-1.084866762,1
-0.192254871,-1.084866762,1
-0.178522378,-1.084866762,1
-0.178522378,-1.084866762,1
-0.205987364,-1.16726172,1
-0.192254871,-1.16726172,1
-0.205987364,-1.16726172,1
-0.205987364,-1.16726172,1
-0.178522378,-1.249656677,1
-0.23345235,-1.249656677,1
-0.247184843,-1.249656677,1
-0.192254871,-1.249656677,1
-0.23345235,-1.345784068,1
-0.23345235,-1.345784068,1
-0.288382322,-1.345784068,1
-0.23345235,-1.428179026,1
-0.260917336,-1.428179026,1
-0.302114815,-1.428179026,1
-0.274649829,-1.428179026,1
-0.260917336,-1.510573983,1
-0.288382322,-1.510573983,1
-0.288382322,-1.510573983,1
-0.274649829,-1.510573983,1
-0.274649829,-1.592968941,1
-0.302114815,-1.592968941,1
-0.3295798,-1.592968941,1
-0.288382322,-1.592968941,1
-0.288382322,-1.675363898,1
-0.3295798,-1.675363898,1
-0.3295798,-1.675363898,1
-0.3295798,-1.675363898,1
-0.370777249,-1.757758856,1
-0.3295798,-1.757758856,1
-0.398242235,-1.757758856,1
-0.384509742,-1.757758856,1
-0.384509742,-1.840153813,1
-0.411974728,-1.840153813,1
-0.425707221,-1.840153813,1
-0.439439714,-1.840153813,1
-0.411974728,-1.922548771,1
-0.425707221,-1.922548771,1
-0.425707221,-1.922548771,1
-0.398242235,-1.922548771,1
-0.425707221,-2.004943609,1
-0.4669047,-2.004943609,1
-0.4669047,-2.004943609,1
-0.4669047,-2.004943609,1
-0.4669047,-2.087338686,1
-0.439439714,-2.087338686,1
-0.494369686,-2.087338686,1
-0.480637193,-2.087338686,1
-0.494369686,-2.169733524,1
-0.535567164,-2.169733524,1
-0.535567164,-2.169733524,1
-0.521834671,-2.252128601,1
-0.576764643,-2.252128601,1
-0.535567164,-2.252128601,1
-0.549299657,-2.252128601,1
-0.576764643,-2.334523439,1
-0.535567164,-2.334523439,1
-0.590497136,-2.334523439,1
-0.590497136,-2.334523439,1
-0.604229629,-2.416918516,1
-0.604229629,-2.416918516,1
-0.590497136,-2.416918516,1
-0.631694615,-2.416918516,1
-0.631694615,-2.513045788,1
-0.631694615,-2.513045788,1
-0.686624527,-2.513045788,1
-0.672892034,-2.513045788,1
-0.672892034,-2.595440865,1
-0.672892034,-2.595440865,1
-0.727822006,-2.595440865,1
-0.741554499,-2.595440865,1
-0.686624527,-2.677835703,1
-0.686624527,-2.677835703,1
-0.79648447,-2.677835703,1
-0.79648447,-2.677835703,1
-0.769019485,-2.76023078,1
-0.769019485,-2.76023078,1
-0.823949456,-2.76023078,1
-0.837681949,-2.76023078,1
-0.79648447,-2.842625618,1
-0.837681949,-2.842625618,1
-0.837681949,-2.842625618,1
-0.810216963,-2.842625618,1
-0.810216963,-2.925020695,1
-0.837681949,-2.925020695,1
-0.947541893,-2.925020695,1
-0.947541893,-2.925020695,1
-1.002471805,-3.007415533,1
-1.043669343,-3.007415533,1
-1.071134329,-3.007415533,1
-1.02993679,-3.007415533,1
-0.975006878,-3.08981061,1
-0.961274385,-3.08981061,1
-1.002471805,-3.08981061,1
-1.002471805,-3.172205448,1
-1.016204357,-3.172205448,1
-1.043669343,-3.172205448,1
-1.071134329,-3.172205448,1
-1.057401776,-3.240867853,1
-1.071134329,-3.240867853,1
-1.043669343,-3.240867853,1
-1.057401776,-3.240867853,1
-1.057401776,-3.32326293,1
-1.057401776,-3.32326293,1
-1.071134329,-3.32326293,1
-1.112331748,-3.32326293,1
-1.126064301,-3.405657768,1
-1.153529286,-3.405657768,1
-1.139796734,-3.405657768,1
-1.208459258,-3.405657768,1
-1.180994272,-3.488052845,1
-1.194726706,-3.488052845,1
-1.194726706,-3.488052845,1
-1.235924244,-3.488052845,1
-1.249656677,-3.570447683,1
-1.249656677,-3.570447683,1
-1.26338923,-3.570447683,1
-1.318319201,-3.570447683,1
-1.318319201,-3.652842522,1
-1.318319201,-3.652842522,1
-1.332051635,-3.652842522,1
-1.373249054,-3.652842522,1
-1.40071404,-3.735237598,1
-1.373249054,-3.735237598,1
-1.40071404,-3.735237598,1
-1.455644011,-3.735237598,1
-1.441911578,-3.817632437,1
-1.469376564,-3.817632437,1
-1.469376564,-3.817632437,1
-1.510573983,-3.817632437,1
-1.49684155,-3.900027514,1
-1.538038969,-3.900027514,1
-1.510573983,-3.900027514,1
-1.565503955,-3.900027514,1
-1.551771522,-3.982422352,1
-1.565503955,-3.982422352,1
-1.565503955,-3.982422352,1
-1.606701493,-4.064817429,1
-1.620433927,-4.064817429,1
-1.620433927,-4.064817429,1
-1.620433927,-4.064817429,1
-1.675363898,-4.133479595,1
-1.661631465,-4.133479595,1
-1.675363898,-4.133479595,1
-1.675363898,-4.133479595,1
-1.771491289,-4.215874672,1
-1.744026423,-4.215874672,1
-1.716561437,-4.215874672,1
-1.73029387,-4.215874672,1
-1.785223842,-4.298269749,1
-1.785223842,-4.298269749,1
-1.771491289,-4.298269749,1
-1.771491289,-4.298269749,1
-1.812688828,-4.380664825,1
-1.798956275,-4.380664825,1
-1.826421261,-4.380664825,1
-1.798956275,-4.380664825,1
-1.881351233,-4.463059425,1
-1.853886247,-4.463059425,1
-1.881351233,-4.463059425,1
-1.867618799,-4.463059425,1
-1.908816218,-4.545454502,1
-1.936281204,-4.545454502,1
-1.922548771,-4.545454502,1
-1.936281204,-4.545454502,1
-2.032408714,-4.614117146,1
-2.101071119,-4.614117146,1
-2.142268658,-4.614117146,1
-2.224663496,-4.614117146,1
-2.238395929,-4.696511745,1
-2.197198629,-4.696511745,1
-2.156001091,-4.696511745,1
-2.142268658,-4.696511745,1
-2.210931063,-4.778906822,1
-2.210931063,-4.778906822,1
-2.224663496,-4.778906822,1
-2.224663496,-4.861301899,1
-2.265861034,-4.861301899,1
-2.265861034,-4.861301899,1
-2.279593468,-4.861301899,1
-2.279593468,-4.929964066,1
-2.334523439,-4.929964066,1
-2.320791006,-4.929964066,1
-2.307058573,-4.929964066,1
-2.348255873,-5.012359142,1
-2.403185844,-5.012359142,1
-2.375720978,-5.012359142,1
-2.403185844,-5.012359142,1
-2.403185844,-5.094754219,1
-2.471848488,-5.094754219,1
-2.485580921,-5.094754219,1
-2.485580921,-5.094754219,1
-2.458115816,-5.163416862,1
-2.52677846,-5.163416862,1
-2.52677846,-5.163416862,1
-2.52677846,-5.163416862,1
-2.513045788,-5.245811462,1
-2.581708431,-5.245811462,1
-2.622905731,-5.245811462,1
-2.622905731,-5.245811462,1
-2.609173298,-5.328206539,1
-2.66410327,-5.328206539,1
-2.677835703,-5.328206539,1
-2.66410327,-5.328206539,1
-2.650370836,-5.396869183,1
-2.732765675,-5.396869183,1
-2.732765675,-5.396869183,1
-2.76023078,-5.396869183,1
-2.76023078,-5.479263783,1
-2.828893185,-5.479263783,1
-2.842625618,-5.479263783,1
-2.842625618,-5.479263783,1
-2.815160751,-5.561658859,1
-2.925020695,-5.561658859,1
-2.952485561,-5.561658859,1
-2.952485561,-5.561658859,1
-2.911288023,-5.630321503,1
-2.952485561,-5.630321503,1
-3.021147966,-5.630321503,1
-2.979950666,-5.712716103,1
-3.007415533,-5.712716103,1
-3.076077938,-5.712716103,1
-3.062345505,-5.712716103,1
-3.076077938,-5.781378746,1
-3.076077938,-5.781378746,1
-3.144740343,-5.781378746,1
-3.13100791,-5.781378746,1
-3.117275476,-5.863773823,1
-3.13100791,-5.863773823,1
-3.199670315,-5.863773823,1
-3.185937881,-5.863773823,1
-3.185937881,-5.946168423,1
-3.144740343,-5.946168423,1
-3.446855307,-5.946168423,1
-3.55671525,-5.946168423,1
-3.570447683,-6.014831066,1
-3.625377655,-6.014831066,1
-3.652842522,-6.014831066,1
-3.584180117,-6.014831066,1
-3.515517712,-6.097226143,1
-3.46058774,-6.097226143,1
-3.570447683,-6.097226143,1
-3.529250145,-6.097226143,1
-3.474320173,-6.165888309,1
-3.570447683,-6.165888309,1
-3.584180117,-6.165888309,1
-3.584180117,-6.165888309,1
-3.59791255,-6.248283386,1
-3.55671525,-6.248283386,1
-3.652842522,-6.248283386,1
-3.652842522,-6.248283386,1
-3.625377655,-6.31694603,1
-3.69404006,-6.31694603,1
-3.721505165,-6.31694603,1
-3.735237598,-6.31694603,1
-3.721505165,-6.385608196,1
-3.748970032,-6.385608196,1
-3.817632437,-6.385608196,1
-3.762702465,-6.385608196,1
-3.79016757,-6.468003273,1
-3.803900003,-6.468003273,1
-3.858829975,-6.468003273,1
-3.872562408,-6.536665916,1
-3.900027514,-6.536665916,1
-3.858829975,-6.536665916,1
-4.009887218,-6.536665916,1
-3.996154785,-6.619060516,1
-3.92749238,-6.619060516,1
-3.968689919,-6.619060516,1
-4.037352562,-6.619060516,1
-4.037352562,-6.68772316,1
-4.009887218,-6.68772316,1
-3.996154785,-6.68772316,1
-4.106014729,-6.68772316,1
-4.119747162,-6.756385803,1
-4.106014729,-6.756385803,1
-4.133479595,-6.756385803,1
-4.188409805,-6.756385803,1
-4.202142239,-6.838780403,1
-4.188409805,-6.838780403,1
-4.160944939,-6.838780403,1
-4.257072449,-6.838780403,1
-4.298269749,-6.907443047,1
-4.243339539,-6.907443047,1
-4.284537315,-6.907443047,1
-4.325734615,-6.907443047,1
-4.312002182,-6.97610569,1
-4.325734615,-6.97610569,1
-4.312002182,-6.97610569,1
-4.408129692,-6.97610569,1
-4.435594559,-7.05850029,1
-4.435594559,-7.05850029,1
-4.435594559,-7.05850029,1
-4.449326992,-7.05850029,1
-4.476791859,-7.127162933,1
-4.449326992,-7.127162933,1
-4.435594559,-7.127162933,1
-4.517989635,-7.127162933,1
-4.559186935,-7.1958251,1
-4.517989635,-7.1958251,1
-4.517989635,-7.1958251,1
-4.627849579,-7.264487743,1
-4.600384712,-7.264487743,1
-4.600384712,-7.264487743,1
-4.600384712,-7.264487743,1
-4.669046879,-7.333150387,1
-4.614117146,-7.333150387,1
-4.655314445,-7.333150387,1
-4.627849579,-7.333150387,1
-4.723977089,-7.415544987,1
-4.723977089,-7.415544987,1
-4.696511745,-7.415544987,1
-4.751441956,-7.415544987,1
-4.820104599,-7.48420763,1
-4.792639256,-7.48420763,1
-4.820104599,-7.48420763,1
-4.751441956,-7.48420763,1
-4.847569466,-7.552870274,1
-4.833837032,-7.552870274,1
-4.833837032,-7.552870274,1
-4.861301899,-7.552870274,1
-4.916231632,-7.62153244,1
-4.888766766,-7.62153244,1
-4.957429409,-7.62153244,1
-4.916231632,-7.62153244,1
-4.998626709,-7.690195084,1
-5.026091576,-7.690195084,1
-4.984894276,-7.690195084,1
-5.026091576,-7.690195084,1
-5.067289352,-7.75885725,1
-5.067289352,-7.75885725,1
-5.094754219,-7.75885725,1
-5.094754219,-7.75885725,1
-5.108486652,-7.827519894,1
-5.149683952,-7.827519894,1
-5.135951519,-7.827519894,1
-5.149683952,-7.827519894,1
-5.218346596,-7.896182537,1
-5.149683952,-7.896182537,1
-5.259543896,-7.896182537,1
-5.177149296,-7.896182537,1
-5.341938972,-7.964844704,1
-5.451798916,-7.964844704,1
-5.465531349,-7.964844704,1
-5.561658859,-8.033507347,1
-5.575391293,-8.033507347,1
-5.492996216,-8.033507347,1
-5.465531349,-8.033507347,1
-5.438066483,-8.102169991,1
-5.506729126,-8.102169991,1
-5.520461559,-8.102169991,1
-5.506729126,-8.102169991,1
-5.520461559,-8.170832634,1
-5.561658859,-8.170832634,1
-5.575391293,-8.170832634,1
-5.561658859,-8.170832634,1
-5.534193993,-8.239494324,1
-5.630321503,-8.239494324,1
-5.657786369,-8.239494324,1
-5.644053936,-8.239494324,1
-5.644053936,-8.308156967,1
-5.685251236,-8.308156967,1
-5.767646313,-8.308156967,1
-5.740181446,-8.308156967,1
-5.671518803,-8.376819611,1
-5.836308479,-8.376819611,1
-5.795111179,-8.376819611,1
-5.795111179,-8.376819611,1
-5.795111179,-8.445482254,1
-5.863773823,-8.445482254,1
-5.863773823,-8.445482254,1
-5.877506256,-8.445482254,1
-5.850041389,-8.500411987,1
-5.932435989,-8.500411987,1
-5.959901333,-8.500411987,1
-5.904971123,-8.500411987,1
-5.932435989,-8.569074631,1
-6.014831066,-8.569074631,1
-6.042295933,-8.569074631,1
-6.028563499,-8.569074631,1
-5.987366199,-8.637737274,1
-6.08349371,-8.637737274,1
-6.110958576,-8.637737274,1
-6.08349371,-8.637737274,1
-6.069761276,-8.706398964,1
-6.152155876,-8.706398964,1
-6.152155876,-8.706398964,1
-6.165888309,-8.775061607,1
-6.138423443,-8.775061607,1
-6.207086086,-8.775061607,1
-6.207086086,-8.775061607,1
-6.234550953,-8.829991341,1
-6.193353653,-8.829991341,1
-6.289480686,-8.829991341,1
-6.303213596,-8.829991341,1
-6.275748253,-8.898653984,1
-6.275748253,-8.898653984,1
-6.330678463,-8.898653984,1
-6.344410896,-8.898653984,1
-6.371875763,-8.967316628,1
-6.371875763,-8.967316628,1
-6.39934063,-8.967316628,1
-6.426805973,-8.967316628,1
-6.426805973,-9.022246361,1
-6.39934063,-9.022246361,1
-6.509200573,-9.022246361,1
-6.509200573,-9.022246361,1
-6.468003273,-9.090909004,1
-6.49546814,-9.090909004,1
-6.564130783,-9.090909004,1
-6.564130783,-9.090909004,1
-6.564130783,-9.145838737,1
-6.577863216,-9.145838737,1
-6.660258293,-9.145838737,1
-6.64652586,-9.145838737,1
-6.605328083,-9.214501381,1
-6.619060516,-9.214501381,1
-6.715188026,-9.214501381,1
-6.701455593,-9.214501381,1
-6.673990726,-9.283164024,1
-6.72892046,-9.283164024,1
-6.797583103,-9.283164024,1
-6.78385067,-9.283164024,1
-6.756385803,-9.338093758,1
-6.770118237,-9.338093758,1
-6.852512836,-9.338093758,1
-6.87997818,-9.406756401,1
-6.82504797,-9.406756401,1
-6.866245747,-9.406756401,1
-6.92117548,-9.406756401,1
-6.934907913,-9.461686134,1
-6.948640347,-9.461686134,1
-6.934907913,-9.461686134,1
-7.031035423,-9.461686134,1
-7.031035423,-9.516615868,1
-6.989838123,-9.516615868,1
-6.96237278,-9.516615868,1
-7.05850029,-9.516615868,1
-7.05850029,-9.585278511,1
-7.044767857,-9.585278511,1
-7.05850029,-9.585278511,1
-7.140895367,-9.585278511,1
-7.1134305,-9.640209198,1
-7.099698067,-9.640209198,1
-7.099698067,-9.640209198,1
-7.168360233,-9.640209198,1
-7.237022877,-9.708870888,1
-7.1546278,-9.708870888,1
-7.1958251,-9.708870888,1
-7.264487743,-9.708870888,1
-7.25075531,-9.763801575,1
-7.223290443,-9.763801575,1
-7.264487743,-9.763801575,1
-7.305685043,-9.763801575,1
-7.333150387,-9.818731308,1
-7.29195261,-9.818731308,1
-7.319417953,-9.818731308,1
-7.38808012,-9.818731308,1
-7.360615253,-9.873661041,1
-7.360615253,-9.873661041,1
-7.401812553,-9.873661041,1
-7.44301033,-9.873661041,1
-7.44301033,-9.942323685,1
-7.429277897,-9.942323685,1
-7.456742764,-9.942323685,1
-7.497940063,-9.942323685,1
-7.52540493,-9.997253418,1
-7.52540493,-9.997253418,1
-7.511672497,-9.997253418,1
-7.552870274,-10.05218315,1
-7.539137363,-10.05218315,1
-7.552870274,-10.05218315,1
-7.58033514,-10.05218315,1
-7.594067574,-10.10711384,1
-7.62153244,-10.10711384,1
-7.607800007,-10.10711384,1
-7.648997307,-10.10711384,1
-7.703927517,-10.16204357,1
-7.71765995,-10.16204357,1
-7.690195084,-10.16204357,1
-7.690195084,-10.16204357,1
-7.800055027,-10.2169733,1
-7.75885725,-10.2169733,1
-7.77259016,-10.2169733,1
-7.75885725,-10.2169733,1
-7.868717194,-10.28563595,1
-7.827519894,-10.28563595,1
-7.868717194,-10.28563595,1
-7.868717194,-10.28563595,1
-7.882450104,-10.34056568,1
-7.896182537,-10.34056568,1
-7.90991497,-10.34056568,1
-7.90991497,-10.34056568,1
-7.964844704,-10.39549541,1
-7.99230957,-10.39549541,1
-7.95111227,-10.39549541,1
-7.95111227,-10.39549541,1
-8.033507347,-10.4504261,1
-8.033507347,-10.4504261,1
-8.00604248,-10.4504261,1
-8.033507347,-10.4504261,1
-8.08843708,-10.50535583,1
-8.102169991,-10.50535583,1
-8.074705124,-10.50535583,1
-8.074705124,-10.50535583,1
-8.198297501,-10.56028557,1
-8.157099724,-10.56028557,1
-8.129634857,-10.56028557,1
-8.198297501,-10.56028557,1
-8.212029457,-10.60148335,1
-8.225762367,-10.60148335,1
-8.225762367,-10.60148335,1
-8.18456459,-10.65641308,1
-8.280692101,-10.65641308,1
-8.280692101,-10.65641308,1
-8.26695919,-10.65641308,1
-8.280692101,-10.71134281,1
-8.335621834,-10.71134281,1
-8.376819611,-10.71134281,1
-8.390552521,-10.71134281,1
-8.335621834,-10.76627254,1
-8.418017387,-10.76627254,1
-8.472947121,-10.76627254,1
-8.404284477,-10.76627254,1
-8.404284477,-10.82120323,1
-8.445482254,-10.82120323,1
-8.514144897,-10.82120323,1
-8.486679077,-10.82120323,1
-8.445482254,-10.87613297,1
-8.582806587,-10.87613297,1
-8.541609764,-10.87613297,1
-8.527876854,-10.87613297,1
-8.541609764,-10.91733074,1
-8.596539497,-10.91733074,1
-8.582806587,-10.91733074,1
-8.582806587,-10.91733074,1
-8.555341721,-10.97226048,1
-8.651469231,-10.97226048,1
-8.720131874,-10.97226048,1
-8.651469231,-10.97226048,1
-8.665202141,-11.02719021,1
-8.720131874,-11.02719021,1
-8.747596741,-11.02719021,1
-8.747596741,-11.02719021,1
-8.706398964,-11.06838799,1
-8.788794518,-11.06838799,1
-8.775061607,-11.06838799,1
-8.788794518,-11.06838799,1
-8.775061607,-11.12331772,1
-8.802526474,-11.12331772,1
-8.884922028,-11.12331772,1
-8.884922028,-11.1645155,1
-8.843724251,-11.1645155,1
-8.912386894,-11.1645155,1
-8.912386894,-11.1645155,1
-8.926118851,-11.21944523,1
-8.926118851,-11.21944523,1
-8.967316628,-11.21944523,1
-8.981049538,-11.21944523,1
-8.967316628,-11.27437496,1
-8.953583717,-11.27437496,1
-9.035979271,-11.27437496,1
-9.063444138,-11.27437496,1
-9.022246361,-11.31557274,1
-9.049711227,-11.31557274,1
-9.104641914,-11.31557274,1
-9.090909004,-11.31557274,1
-9.104641914,-11.35677052,1
-9.104641914,-11.35677052,1
-9.173303604,-11.35677052,1
-9.187036514,-11.35677052,1
-9.173303604,-11.41170025,1
-9.173303604,-11.41170025,1
-9.214501381,-11.41170025,1
-9.228234291,-11.41170025,1
-9.255699158,-11.45289803,1
-9.228234291,-11.45289803,1
-9.310628891,-11.45289803,1
-9.310628891,-11.45289803,1
-9.283164024,-11.50782776,1
-9.310628891,-11.50782776,1
-9.351826668,-11.50782776,1
-9.379291534,-11.50782776,1
-9.365558624,-11.54902458,1
-9.365558624,-11.54902458,1
-9.420489311,-11.54902458,1
-9.434221268,-11.54902458,1
-9.434221268,-11.59022236,1
-9.406756401,-11.59022236,1
-9.475419044,-11.59022236,1
-9.475419044,-11.59022236,1
-9.475419044,-11.64515209,1
-9.502883911,-11.64515209,1
-9.544081688,-11.64515209,1
-9.557813644,-11.68634987,1
-9.557813644,-11.68634987,1
-9.544081688,-11.68634987,1
-9.612743378,-11.68634987,1
-9.599011421,-11.72754765,1
-9.585278511,-11.72754765,1
-9.626476288,-11.72754765,1
-9.681406021,-11.72754765,1
-9.667674065,-11.76874447,1
-9.667674065,-11.76874447,1
-9.681406021,-11.76874447,1
-9.708870888,-11.76874447,1
-9.763801575,-11.80994225,1
-9.750068665,-11.80994225,1
-9.736335754,-11.80994225,1
-9.818731308,-11.80994225,1
-9.832463264,-11.85114002,1
-9.750068665,-11.85114002,1
-9.804998398,-11.85114002,1
-9.887393951,-11.85114002,1
-9.914858818,-11.89233685,1
-9.846196175,-11.89233685,1
-9.846196175,-11.89233685,1
-9.914858818,-11.89233685,1
-9.914858818,-11.94726753,1
-9.901125908,-11.94726753,1
-9.914858818,-11.94726753,1
-10.02471828,-11.94726753,1
-9.983521461,-11.98846436,1
-10.01098633,-11.98846436,1
-9.956055641,-11.98846436,1
-10.05218315,-11.98846436,1
-10.09338093,-12.01592922,1
-10.02471828,-12.01592922,1
-10.02471828,-12.01592922,1
-10.12084579,-12.01592922,1
-10.07964802,-12.057127,1
-10.10711384,-12.057127,1
-10.10711384,-12.057127,1
-10.12084579,-12.057127,1
-10.18950844,-12.09832478,1
-10.14831066,-12.09832478,1
-10.14831066,-12.09832478,1
-10.24443817,-12.13952255,1
-10.2169733,-12.13952255,1
-10.20324039,-12.13952255,1
-10.23070621,-12.13952255,1
-10.28563595,-12.18071938,1
-10.25817108,-12.18071938,1
-10.31310081,-12.18071938,1
-10.28563595,-12.18071938,1
-10.2993679,-12.22191715,1
-10.36803055,-12.22191715,1
-10.34056568,-12.22191715,1
-10.35429859,-12.22191715,1
-10.42296028,-12.26311493,1
-10.38176346,-12.26311493,1
-10.39549541,-12.26311493,1
-10.40922832,-12.26311493,1
-10.42296028,-12.2905798,1
-10.46415806,-12.2905798,1
-10.49162292,-12.2905798,1
-10.42296028,-12.2905798,1
-10.49162292,-12.33177662,1
-10.50535583,-12.33177662,1
-10.50535583,-12.33177662,1
-10.50535583,-12.33177662,1
-10.58775043,-12.3729744,1
-10.58775043,-12.3729744,1
-10.62894821,-12.3729744,1
-10.56028557,-12.3729744,1
-10.62894821,-12.40043926,1
-10.64268017,-12.40043926,1
-10.62894821,-12.40043926,1
-10.62894821,-12.40043926,1
-10.72507572,-12.44163704,1
-10.69761086,-12.44163704,1
-10.72507572,-12.44163704,1
-10.68387794,-12.44163704,1
-10.75254059,-12.48283482,1
-10.78000546,-12.48283482,1
-10.73880768,-12.48283482,1
-10.75254059,-12.51029968,1
-10.86240005,-12.51029968,1
-10.78000546,-12.51029968,1
-10.83493519,-12.51029968,1
-10.80747032,-12.55149651,1
-10.8486681,-12.55149651,1
-10.88986588,-12.55149651,1
-10.86240005,-12.55149651,1
-10.8486681,-12.57896137,1
-10.91733074,-12.57896137,1
-10.94479561,-12.57896137,1
-10.90359783,-12.57896137,1
-10.90359783,-12.62015915,1
-10.9310627,-12.62015915,1
-10.98599243,-12.62015915,1
-10.99972534,-12.62015915,1
-10.98599243,-12.64762402,1
-11.02719021,-12.64762402,1
-11.05465508,-12.64762402,1
-11.02719021,-12.64762402,1
-11.02719021,-12.67508888,1
-11.08211994,-12.67508888,1
-11.09585285,-12.67508888,1
-11.10958481,-12.67508888,1
-11.05465508,-12.71628666,1
-11.15078259,-12.71628666,1
-11.15078259,-12.71628666,1
-11.13705063,-12.71628666,1
-11.15078259,-12.74375153,1
-11.23317814,-12.74375153,1
-11.21944523,-12.74375153,1
-11.20571232,-12.74375153,1
-11.21944523,-12.77121639,1
-11.26064301,-12.77121639,1
-11.28810787,-12.77121639,1
-11.27437496,-12.77121639,1
-11.28810787,-12.79868126,1
-11.31557274,-12.79868126,1
-11.34303761,-12.79868126,1
-11.28810787,-12.79868126,1
-11.30183983,-12.83987904,1
-11.39796734,-12.83987904,1
-11.41170025,-12.83987904,1
-11.39796734,-12.8673439,1
-11.35677052,-12.8673439,1
-11.43916512,-12.8673439,1
-11.45289803,-12.8673439,1
-11.46662998,-12.89480877,1
-11.43916512,-12.89480877,1
-11.50782776,-12.89480877,1
-11.50782776,-12.89480877,1
-11.53529263,-12.92227364,1
-11.49409485,-12.92227364,1
-11.56275749,-12.92227364,1
-11.59022236,-12.92227364,1
-11.54902458,-12.94973946,1
-11.56275749,-12.94973946,1
-11.63142014,-12.94973946,1
-11.63142014,-12.94973946,1
-11.61768723,-12.97720432,1
-11.60395527,-12.97720432,1
-11.68634987,-12.97720432,1
-11.63142014,-12.97720432,1
-11.70008278,-13.00466919,1
-11.67261696,-13.00466919,1
-11.67261696,-13.00466919,1
-11.7412796,-13.00466919,1
-11.71381474,-13.03213406,1
-11.71381474,-13.03213406,1
-11.80994225,-13.03213406,1
-11.7412796,-13.03213406,1
-11.7412796,-13.05959892,1
-11.75501251,-13.05959892,1
-11.83740711,-13.05959892,1
-11.82367516,-13.05959892,1
-11.78247738,-13.08706379,1
-11.82367516,-13.08706379,1
-11.90606976,-13.08706379,1
-11.83740711,-13.08706379,1
-11.85114002,-13.11452866,1
-11.85114002,-13.11452866,1
-11.90606976,-13.11452866,1
-11.91980267,-13.11452866,1
-11.87860489,-13.12826157,1
-11.93353462,-13.12826157,1
-12.00219727,-13.12826157,1
-11.9747324,-13.15572643,1
-11.96099949,-13.15572643,1
-11.9747324,-13.15572643,1
-12.02966213,-13.15572643,1
-12.07085991,-13.1831913,1
-12.02966213,-13.1831913,1
-12.02966213,-13.1831913,1
-12.07085991,-13.1831913,1
-12.08459187,-13.21065617,1
-12.08459187,-13.21065617,1
-12.11205673,-13.21065617,1
-12.11205673,-13.21065617,1
-12.18071938,-13.22438908,1
-12.18071938,-13.22438908,1
-12.08459187,-13.22438908,1
-12.23564911,-13.22438908,1
-12.23564911,-13.25185394,1
-12.18071938,-13.25185394,1
-12.19445229,-13.25185394,1
-12.26311493,-13.25185394,1
-12.27684689,-13.26558685,1
-12.26311493,-13.26558685,1
-12.24938202,-13.26558685,1
-12.30431175,-13.26558685,1
-12.33177662,-13.29305172,1
-12.27684689,-13.29305172,1
-12.31804466,-13.29305172,1
-12.38670731,-13.29305172,1
-12.38670731,-13.30678368,1
-12.38670731,-13.30678368,1
-12.35924244,-13.30678368,1
-12.3729744,-13.30678368,1
-12.44163704,-13.33424854,1
-12.41417217,-13.33424854,1
-12.41417217,-13.33424854,1
-12.46910191,-13.33424854,1
