"Frequency Response"
"Axis-1: 1 - 1000Hz"
"Index","Frequency","Gain","Phase"
"","Hz","dB","deg"
165,790.000000,-17.549425,-171.336825
166,795.000000,-16.555191,-178.123580
167,800.000000,-16.196601,-183.507224
168,805.000000,-16.905408,-191.628509
169,810.000000,-18.026809,-194.841325
170,815.000000,-19.229496,-188.228062
171,820.000000,-19.057859,-182.631522
172,825.000000,-18.935646,-183.350773
173,830.000000,-19.326858,-183.300064
174,835.000000,-18.856625,-185.654071
175,840.000000,-19.592092,-187.962446
176,845.000000,-20.287648,-185.784033
177,850.000000,-20.370697,-179.904651
178,855.000000,-19.473282,-176.253229
179,860.000000,-19.807869,-174.897965
180,865.000000,-19.390548,-174.131661
181,870.000000,-18.792336,-170.378632
182,875.000000,-18.117994,-175.426563
183,880.000000,-17.803450,-176.320970
184,885.000000,-17.729893,-178.844037
185,890.000000,-17.421948,-182.427855
186,895.000000,-17.248420,-182.173348
187,900.000000,-17.055249,-185.895113
188,905.000000,-16.827173,-189.125317
189,910.000000,-17.019005,-193.609265
190,915.000000,-17.241790,-197.592644
191,920.000000,-17.429044,-200.454019
192,925.000000,-17.753666,-202.200907
193,930.000000,-18.035872,-199.605862
194,935.000000,-17.960261,-200.191323
195,940.000000,-17.728310,-202.489620
196,945.000000,-17.425514,-203.563635
197,950.000000,-17.744059,-208.747068
198,955.000000,-17.881490,-213.930110
199,960.000000,-18.770648,-215.219640
200,965.000000,-18.666605,-222.114885
201,970.000000,-19.629339,-214.615003
202,975.000000,-20.089876,-212.642128
203,980.000000,-18.845156,-220.621962
204,985.000000,-19.023628,-215.006693
205,990.000000,-20.001403,-218.909187
206,995.000000,-19.891562,-215.103466
207,1000.000000,-19.992798,-213.626641
